congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
85,3658,61,0,ARIZONA,200,GOLDWATER,0.667,-0.256,0.0628,0.1354,-0.1563,-65.4085,232,30,0.754
85,4922,22,0,INDIANA,200,JENNER,0.57,-0.018,0.1259,0.0766,-0.3583,-43.59607,210,22,0.813
85,2267,35,0,NEBRASK,200,CURTIS,0.498,-0.142,0.089,0.07,-0.1638,-56.52128,252,19,0.799
85,10163,11,0,DELAWAR,200,WILLIAMS  J,0.483,-0.413,0.0962,0.0402,-0.0564,-96.8985,253,43,0.682
85,1024,24,0,OHIO,200,BRICKER,0.479,-0.27,0.1054,0.0783,-0.4101,-61.43604,241,28,0.775
85,4660,35,0,NEBRASK,200,HRUSKA,0.446,-0.099,0.0994,0.0471,-0.2587,-59.35968,247,30,0.786
85,6021,14,0,PENNSYL,200,MARTIN  E.,0.408,-0.547,0.0789,0.1769,-0.4679,-48.53893,225,19,0.806
85,645,67,0,UTAH,200,BENNETT,0.395,-0.421,0.0715,0.0628,-0.1409,-62.17858,253,23,0.782
85,2087,4,0,NEW HAM,200,COTTON,0.393,-0.447,0.0456,0.0859,-0.2954,-80.48688,246,37,0.721
85,1027,4,0,NEW HAM,200,BRIDGES,0.381,-0.405,0.0563,0.0892,-0.2599,-44.56596,186,17,0.787
85,2803,63,0,IDAHO,200,DWORSHAK,0.362,-0.05,0.1002,0.035,-0.0902,-78.92445,255,37,0.734
85,2609,21,0,ILLINOI,200,DIRKSEN,0.356,-0.649,0.0403,0.1034,-0.1368,-57.69751,249,30,0.793
85,1341,52,0,MARYLAN,200,BUTLER,0.35,-0.275,0.0784,0.0493,-0.241,-76.22157,233,39,0.721
85,8270,32,0,KANSAS,200,SCHOEPPEL,0.342,-0.074,0.1004,0.0329,-0.1275,-67.25066,241,33,0.757
85,4382,31,0,IOWA,200,HICKENLOOPE,0.335,-0.309,0.0626,0.0537,-0.0294,-59.02057,250,22,0.79
85,464,68,0,WYOMING,200,BARRETT,0.316,-0.082,0.0917,0.059,-0.2485,-103.16114,252,53,0.664
85,1365,40,0,VIRGINI,100,BYRD,0.315,0.668,0.0842,0.0672,-0.0453,-92.63857,218,56,0.654
85,99901,99,0,USA,200,EISENHOWER,0.313,-0.869,0.0594,0.0644,-0.2183,-28.21517,132,11,0.808
85,1489,22,0,INDIANA,200,CAPEHART,0.305,-0.338,0.0553,0.0648,-0.1915,-79.23061,234,39,0.713
85,6039,31,0,IOWA,200,MARTIN  T.,0.295,-0.399,0.0399,0.0818,-0.2757,-61.34252,250,28,0.782
85,5343,71,0,CALIFOR,200,KNOWLAND,0.291,-0.407,0.0326,0.1299,0.0932,-57.0046,255,20,0.8
85,6796,37,0,SOUTH D,200,MUNDT,0.271,-0.054,0.0614,0.0259,-0.0689,-108.20358,255,52,0.654
85,9865,67,0,UTAH,200,WATKINS,0.27,-0.394,0.0409,0.113,-0.0635,-65.61149,253,28,0.772
85,7826,56,0,WEST VI,200,REVERCOMB,0.253,-0.017,0.0974,0.0985,0.1672,-147.88097,224,75,0.517
85,142,62,0,COLORAD,200,ALLOTT,0.252,-0.466,0.02,0.0979,-0.1797,-78.29254,255,37,0.736
85,4473,56,0,WEST VI,200,HOBLITZELL,0.246,-0.422,0.0554,0.1757,-0.1499,-51.27832,168,22,0.737
85,1570,37,0,SOUTH D,200,CASE  F.,0.238,-0.112,0.0583,0.0352,0.097,-115.0674,230,52,0.606
85,3206,6,0,VERMONT,200,FLANDERS,0.233,-0.534,0.0291,0.173,0.1272,-48.99187,194,21,0.777
85,99369,48,0,SOUTH C,100,THURMOND,0.23,0.791,0.0689,0.0547,0.3256,-79.22585,255,35,0.733
85,1510,32,0,KANSAS,200,CARLSON,0.225,-0.311,0.0279,0.0645,0.0215,-63.4761,219,29,0.748
85,1329,1,0,CONNECT,200,BUSH,0.224,-0.858,0.0469,0.0702,-0.5306,-67.87173,242,30,0.755
85,7958,40,0,VIRGINI,100,ROBERTSON,0.204,0.596,0.0656,0.0641,-0.1582,-97.91831,234,52,0.658
85,6745,51,0,KENTUCK,200,MORTON,0.196,-0.478,0.0208,0.1131,0.0841,-81.292,250,32,0.722
85,10450,36,0,NORTH D,200,YOUNG  M.,0.182,0.082,0.064,0.0378,0.0412,-124.18181,227,64,0.579
85,5944,65,0,NEVADA,200,MALONE,0.181,0.281,0.05,0.1087,0.0776,-128.61914,233,60,0.576
85,7551,23,0,MICHIGA,200,POTTER,0.178,-0.5,0.0237,0.129,0.1097,-94.02101,249,46,0.686
85,8635,12,0,NEW JER,200,SMITH  H.,0.175,-0.686,0.0608,0.1781,0.1186,-60.00668,248,21,0.785
85,5500,24,0,OHIO,100,LAUSCHE,0.163,-0.283,0.0198,0.0749,-0.0659,-179.08211,241,81,0.476
85,8185,3,0,MASSACH,200,SALTONSTALL,0.154,-0.45,0.0148,0.0756,-0.111,-80.84589,243,36,0.717
85,7656,1,0,CONNECT,200,PURTELL,0.151,-0.806,0.0424,0.0976,0.0912,-57.4492,234,26,0.782
85,8138,44,0,GEORGIA,100,RUSSELL  R.,0.149,0.912,0.0523,0.0276,-0.0447,-55.44216,245,19,0.797
85,546,52,0,MARYLAN,200,BEALL,0.136,-0.523,0.0336,0.0848,0.078,-90.36046,251,46,0.698
85,2822,46,0,MISSISS,100,EASTLAND,0.126,0.795,0.0581,0.0762,0.0234,-61.51593,237,25,0.771
85,6151,42,0,ARKANSA,100,MCCLELLAN,0.125,0.671,0.0581,0.1022,0.1035,-57.00064,223,25,0.774
85,3349,11,0,DELAWAR,100,FREAR,0.115,0.398,0.0286,0.0736,-0.0467,-96.88518,232,43,0.659
85,10110,25,0,WISCONS,200,WILEY,0.113,-0.496,0.0305,0.0787,0.1075,-102.7843,239,52,0.65
85,5372,71,0,CALIFOR,200,KUCHEL,0.098,-0.596,0.0617,0.0995,0.0639,-78.43896,254,34,0.734
85,9374,33,0,MINNESO,200,THYE,0.098,-0.352,0.0492,0.0648,0.3743,-93.15534,246,54,0.685
85,4520,43,0,FLORIDA,100,HOLLAND,0.089,0.478,0.0317,0.0828,-0.1363,-117.27918,255,56,0.631
85,8666,2,0,MAINE,200,SMITH  M.,0.084,-0.41,0.0278,0.0535,0.0169,-123.30929,255,57,0.617
85,7271,2,0,MAINE,200,PAYNE,0.077,-0.529,0.0499,0.0879,0.2255,-76.53012,254,32,0.74
85,9174,44,0,GEORGIA,100,TALMADGE,0.062,0.896,0.0706,0.108,-0.1285,-57.95587,243,26,0.788
85,8883,46,0,MISSISS,100,STENNIS,0.053,0.866,0.0735,0.0706,0.0632,-66.04896,255,28,0.772
85,52,6,0,VERMONT,200,AIKEN,0.043,-0.443,0.034,0.0455,0.1164,-87.04013,249,43,0.705
85,2987,47,0,NORTH C,100,ERVIN,0.029,0.851,0.0644,0.0781,-0.0608,-69.00927,247,25,0.756
85,5073,47,0,NORTH C,100,JORDAN,0.028,0.724,0.0444,0.1515,-0.2173,-30.99281,113,10,0.76
85,2052,51,0,KENTUCK,200,COOPER,0.023,-0.353,0.0506,0.0655,0.1859,-102.70681,250,48,0.663
85,2901,45,0,LOUISIA,100,ELLENDER,0.015,0.889,0.0293,0.031,-0.0393,-80.8755,250,35,0.724
85,4834,13,0,NEW YOR,200,IVES,0.013,-0.844,0.0887,0.0789,0.4461,-82.01223,231,37,0.701
85,5452,36,0,NORTH D,200,LANGER,-0.002,0.137,0.0481,0.0775,0.1649,-177.96655,211,95,0.43
85,8593,43,0,FLORIDA,100,SMATHERS,-0.052,0.573,0.0249,0.071,0.0159,-88.77116,232,48,0.682
85,5009,48,0,SOUTH C,100,JOHNSTON,-0.106,0.998,0.0373,0.0996,-0.4144,-74.20264,254,41,0.747
85,1569,12,0,NEW JER,200,CASE  C.,-0.12,-1.007,0.0794,0.0492,0.0557,-55.87438,252,25,0.801
85,5213,53,0,OKLAHOM,100,KERR,-0.122,0.502,0.0187,0.0379,0.0055,-73.04108,249,34,0.746
85,1678,66,0,NEW MEX,100,CHAVEZ,-0.126,0.274,0.0352,0.0568,-0.0826,-72.83067,222,39,0.72
85,4227,61,0,ARIZONA,100,HAYDEN,-0.129,0.284,0.0197,0.0498,-0.1466,-67.52156,247,29,0.761
85,7070,68,0,WYOMING,100,O'MAHONEY,-0.142,0.148,0.0882,0.0704,-0.0523,-81.61821,211,43,0.679
85,688,65,0,NEVADA,100,BIBLE,-0.143,0.352,0.0188,0.0436,-0.182,-99.07906,251,51,0.674
85,5767,45,0,LOUISIA,100,LONG  R.,-0.148,0.872,0.0437,0.0265,0.0009,-74.07193,245,33,0.739
