congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
40,9276,35,0,NEBRASK,200,THAYER,0.418,0.908,0.0684,0.1602,-0.2583,-138.25572,587,49,0.79
40,1642,23,0,MICHIGA,200,CHANDLER,0.377,0.142,0.1473,0.073,0.1199,-166.23109,556,92,0.742
40,7090,43,0,FLORIDA,200,OSBORN,0.376,0.847,0.0527,0.1116,0.0958,-65.7839,207,32,0.728
40,9698,24,0,OHIO,200,WADE,0.328,0.65,0.0862,0.0899,0.1265,-195.94722,541,92,0.696
40,9924,43,0,FLORIDA,200,WELCH,0.271,0.602,0.0943,0.1527,0.1382,-59.20775,166,22,0.7
40,4627,23,0,MICHIGA,200,HOWARD,0.266,0.212,0.0859,0.0488,0.0546,-201.04662,498,91,0.668
40,6992,65,0,NEVADA,200,NYE,0.246,0.23,0.0812,0.0407,0.0236,-185.56189,532,86,0.706
40,6216,42,0,ARKANSA,200,MCDONALD,0.229,0.973,0.0772,0.1262,0.0309,-76.53123,224,36,0.711
40,2715,34,0,MISSOUR,200,DRAKE,0.205,0.19,0.0578,0.0599,-0.2425,-214.48552,551,112,0.678
40,6,47,0,NORTH C,200,ABBOTT,0.204,0.829,0.0511,0.0987,0.1554,-63.57783,157,36,0.667
40,7518,32,0,KANSAS,200,POMEROY,0.198,0.247,0.0508,0.0433,0.1617,-240.79005,567,114,0.654
40,7703,33,0,MINNESO,200,RAMSEY,0.18,0.234,0.0399,0.0304,-0.0393,-251.66914,602,130,0.658
40,7521,47,0,NORTH C,200,POOL,0.178,0.983,0.0662,0.0978,0.1097,-48.57301,102,27,0.621
40,7851,42,0,ARKANSA,200,RICE,0.172,0.984,0.0718,0.1023,0.0808,-66.40333,193,30,0.709
40,8948,65,0,NEVADA,200,STEWART,0.165,-0.087,0.0337,0.0484,-0.0041,-224.7007,587,109,0.682
40,4077,31,0,IOWA,200,HARLAN,0.162,0.236,0.032,0.038,0.1839,-226.70546,607,102,0.688
40,1984,13,0,NEW YOR,200,CONKLING,0.159,-0.615,0.088,0.0693,-0.3935,-270.58795,628,129,0.65
40,8783,41,0,ALABAMA,200,SPENCER,0.149,0.995,0.0851,0.1731,0.3889,-40.03523,92,17,0.647
40,1997,71,0,CALIFOR,200,CONNESS,0.147,-0.012,0.0547,0.0603,-0.3688,-211.28897,497,122,0.654
40,10419,21,0,ILLINOI,200,YATES,0.146,0.517,0.0291,0.07,-0.0085,-174.11964,473,90,0.692
40,9837,41,0,ALABAMA,200,WARNER,0.145,0.57,0.0482,0.0775,0.2737,-73.66436,136,41,0.582
40,10225,3,0,MASSACH,200,WILSON,0.133,-0.095,0.0585,0.0332,0.0628,-275.03506,605,142,0.635
