congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
13,2316,1,0,CONNECT,1,DANA  S.W.,0.935,-0.356,0.2993,0.0871,0.789,-44.66301,203,21,0.803
13,3655,52,0,MARYLAN,1,GOLDSBOROUG,0.859,-0.592,0.1789,0.1184,0.2451,-40.06476,206,19,0.823
13,9947,11,0,DELAWAR,1,WELLS  W.H.,0.769,0.241,0.1209,0.0776,0.037,-55.64497,155,18,0.698
13,6054,4,0,NEW HAM,1,MASON  J.,0.766,-0.313,0.135,0.0943,0.2844,-49.84114,222,13,0.799
13,4762,5,0,RHODE I,1,HUNTER  W.,0.753,-0.318,0.1227,0.0961,0.234,-48.58762,227,19,0.807
13,9341,4,0,NEW HAM,1,THOMPSON,0.679,-0.51,0.1719,0.126,0.414,-19.11402,105,8,0.834
13,3610,4,0,NEW HAM,200,GILMAN  N.,0.675,0.299,0.1388,0.1146,0.3166,-24.32035,142,11,0.843
13,3539,13,0,NEW YOR,200,GERMAN  O.,0.669,0.743,0.1654,0.0959,-0.1475,-72.92072,225,39,0.723
13,4586,11,0,DELAWAR,1,HORSEY  O.,0.631,-0.144,0.114,0.0643,0.289,-36.16181,208,18,0.84
13,3705,3,0,MASSACH,1,GORE  C.,0.63,-0.465,0.1303,0.1077,0.3271,-30.18751,232,13,0.878
13,2296,1,0,CONNECT,1,DAGGETT  D.,0.611,-0.432,0.1307,0.0864,0.4028,-39.74352,214,14,0.831
13,5270,13,0,NEW YOR,1,KING  R.,0.596,-0.274,0.1284,0.0497,0.1985,-29.34242,226,11,0.878
13,5421,12,0,NEW JER,200,LAMBERT  J.,0.55,0.835,0.1653,0.0787,-0.0643,-58.24448,241,33,0.785
13,3377,45,0,LOUISIA,200,FROMENTIN,0.091,0.107,0.0481,0.0839,0.2451,-63.83772,233,31,0.76
13,3582,40,0,VIRGINI,200,GILES  W.B.,-0.055,0.317,0.0686,0.1013,0.0413,-44.36621,170,21,0.77
13,8678,52,0,MARYLAN,200,SMITH  S.,-0.083,0.333,0.0238,0.0351,-0.1991,-76.16901,209,36,0.695
13,1111,45,0,LOUISIA,200,BROWN  J.,-0.085,-0.344,0.1237,0.0771,-0.1363,-43.17961,188,24,0.795
13,5594,14,0,PENNSYL,200,LEIB  M.,-0.166,0.529,0.0633,0.1598,-0.1229,-26.49617,89,14,0.743
13,420,40,0,VIRGINI,200,BARBOUR  J.,-0.179,0.056,0.0721,0.1062,0.0176,-13.72958,46,2,0.742
13,685,51,0,KENTUCK,200,BIBB  G.M.,-0.187,-1.014,0.0926,0.1391,0.0861,-31.65129,85,15,0.689
13,5210,24,0,OHIO,200,KERR  J.,-0.259,-0.531,0.1986,0.227,-0.1013,-14.25786,50,7,0.752
13,3423,48,0,SOUTH C,200,GAILLARD,-0.285,-0.388,0.1028,0.0363,-0.0883,-72.0481,225,38,0.726
13,8977,47,0,NORTH C,200,STONE  D.,-0.339,-0.941,0.1615,0.1061,-0.0474,-53.85381,112,34,0.618
13,174,54,0,TENNESS,200,ANDERSON,-0.355,-0.356,0.1177,0.1135,-0.0673,-67.16579,204,35,0.719
13,792,51,0,KENTUCK,200,BLEDSOE  J.,-0.372,-0.167,0.1211,0.1845,-0.039,-36.4277,166,17,0.803
13,4651,5,0,RHODE I,200,HOWELL  J.,-0.394,0.333,0.0748,0.1006,-0.3311,-35.58858,158,17,0.798
13,9157,44,0,GEORGIA,200,TAIT  C.,-0.406,-0.321,0.1098,0.0552,-0.1008,-57.21462,225,25,0.775
13,9216,48,0,SOUTH C,200,TAYLOR  J.,-0.449,-0.512,0.1139,0.0865,0.0637,-51.75597,230,20,0.798
13,10379,24,0,OHIO,200,WORTHINGTON,-0.465,-0.263,0.0958,0.1276,-0.0748,-37.5208,142,18,0.768
13,9650,3,0,MASSACH,200,VARNUM  J.,-0.492,-0.871,0.1829,0.0636,0.1123,-113.16338,248,61,0.634
13,9741,51,0,KENTUCK,200,WALKER  G.,-0.52,0.151,0.1187,0.2308,-0.1918,-13.78105,75,6,0.832
13,9979,54,0,TENNESS,200,WHARTON  J.,-0.523,-0.172,0.1226,0.2265,-0.365,-31.52515,119,14,0.767
13,1665,6,0,VERMONT,200,CHASE  D.,-0.544,0.714,0.0748,0.1655,0.0242,-48.42984,239,26,0.817
13,1230,44,0,GEORGIA,200,BULLOCH  W.,-0.546,0.741,0.1348,0.2611,0.5327,-5.77062,48,3,0.887
13,1007,40,0,VIRGINI,200,BRENT  R.,-0.553,-0.039,0.0896,0.1012,-0.1324,-21.60297,110,9,0.822
13,6728,24,0,OHIO,200,MORROW  J.,-0.559,-0.033,0.0767,0.1092,-0.4451,-42.92969,251,18,0.843
13,9517,47,0,NORTH C,200,TURNER  J.,-0.571,-0.821,0.2073,0.1332,0.4564,-64.00311,239,31,0.765
13,7985,6,0,VERMONT,200,ROBINSON,-0.581,0.373,0.0614,0.0977,-0.0728,-37.61913,180,20,0.811
13,1448,54,0,TENNESS,200,CAMPBELL,-0.583,0.176,0.0694,0.1253,-0.4242,-11.18008,80,7,0.87
13,1974,12,0,NEW JER,200,CONDIT  J.,-0.592,0.042,0.059,0.1005,-0.4257,-58.59128,228,30,0.773
13,686,44,0,GEORGIA,200,BIBB  W.W.,-0.648,-0.374,0.1023,0.1335,-0.3025,-38.34365,174,17,0.802
13,5392,14,0,PENNSYL,200,LACOCK  A.,-0.726,-0.379,0.094,0.1064,-0.4585,-43.5254,238,20,0.833
