congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
96,3658,61,0,ARIZONA,200,GOLDWATER,0.633,-0.865,0.0505,0.1635,-0.1233,-255.21294,646,103,0.674
96,14105,47,0,NORTH C,200,HELMS  J,0.615,0.612,0.0342,0.1341,-0.3923,-155.59515,915,63,0.844
96,14706,4,0,NEW HAM,200,HUMPHREY  G,0.567,-0.038,0.0315,0.0946,-0.133,-174.62817,896,79,0.823
96,14002,62,0,COLORAD,200,ARMSTRONG,0.514,-0.165,0.033,0.0803,-0.0467,-227.5513,867,108,0.769
96,11029,63,0,IDAHO,200,MCCLURE  J,0.502,-0.194,0.0429,0.1119,-0.0624,-241.34454,851,123,0.753
96,14077,65,0,NEVADA,200,LAXALT  P,0.47,-0.353,0.0359,0.1377,-0.1499,-212.6626,826,88,0.773
96,14303,67,0,UTAH,200,GARN  J,0.465,-0.349,0.0431,0.1323,-0.1177,-202.82599,877,92,0.794
96,14511,68,0,WYOMING,200,WALLOP  M,0.409,-0.662,0.0204,0.1314,-0.1369,-276.10886,854,118,0.724
96,9369,48,0,SOUTH C,200,THURMOND  S,0.405,0.052,0.0405,0.0719,-0.1028,-221.49841,921,106,0.786
96,14503,67,0,UTAH,200,HATCH  O,0.4,-0.091,0.053,0.0465,-0.1527,-272.49945,893,118,0.737
96,14504,71,0,CALIFOR,200,HAYAKAWA  S,0.397,-0.819,0.0233,0.1109,-0.1108,-346.13446,863,179,0.67
96,10823,49,0,TEXAS,200,TOWER  J,0.395,-0.412,0.0338,0.1482,-0.1938,-228.01506,810,98,0.755
96,14710,68,0,WYOMING,200,SIMPSON  A,0.342,-0.459,0.0219,0.1176,-0.105,-272.19415,894,119,0.738
96,14510,66,0,NEW MEX,200,SCHMITT  H,0.326,-0.588,0.0191,0.1182,-0.1267,-309.6438,871,152,0.701
96,14506,22,0,INDIANA,200,LUGAR  R,0.319,-0.596,0.021,0.0847,0.0178,-300.15424,892,135,0.714
96,14707,31,0,IOWA,200,JEPSEN  R,0.294,-0.104,0.0565,0.0546,-0.1823,-236.38043,849,110,0.757
96,11044,11,0,DELAWAR,200,ROTH  W,0.286,-0.655,0.0114,0.1045,-0.1112,-416.29895,892,207,0.627
96,10513,32,0,KANSAS,200,DOLE  R,0.279,-0.457,0.0156,0.1012,0.0552,-324.13861,882,166,0.692
96,11200,54,0,TENNESS,200,BAKER  H,0.255,-0.601,0.0148,0.1027,-0.08,-246.4028,665,128,0.69
96,14712,40,0,VIRGINI,200,WARNER  J,0.25,-0.07,0.0454,0.0422,-0.2029,-255.59755,928,108,0.759
96,12101,53,0,OKLAHOM,200,BELLMON  H,0.223,-0.763,0.0284,0.1144,-0.304,-484.21078,825,250,0.556
96,14103,66,0,NEW MEX,200,DOMENICI  P,0.214,-0.361,0.0203,0.0942,-0.1312,-307.08612,888,144,0.708
96,14009,46,0,MISSISS,200,COCHRAN  T,0.209,-0.375,0.0463,0.0548,-0.0427,-305.34885,858,124,0.701
96,14701,33,0,MINNESO,200,BOSCHWITZ,0.192,-0.88,0.0426,0.097,-0.2511,-385.72275,918,191,0.657
96,10802,40,0,VIRGINI,328,BYRD  HF,0.185,1.065,0.1465,0.2579,-0.2073,-297.32364,892,132,0.717
96,14708,32,0,KANSAS,200,KASSEBAUM,0.18,-0.643,0.022,0.1116,-0.1779,-334.74664,855,149,0.676
96,12109,81,0,ALASKA,200,STEVENS  T,0.167,-0.657,0.0227,0.082,-0.0849,-391.1991,839,201,0.627
96,10557,14,0,PENNSYL,200,SCHWEIKER,0.157,-0.465,0.0187,0.0822,-0.1804,-372.33887,851,194,0.646
96,14501,34,0,MISSOUR,200,DANFORTH  J,0.139,-0.653,0.0226,0.0923,-0.1861,-400.65628,889,215,0.637
96,10450,36,0,NORTH D,200,YOUNG  M,0.134,0.013,0.0753,0.0563,-0.1506,-314.79681,800,158,0.675
96,12107,72,0,OREGON,200,PACKWOOD  R,0.111,-0.802,0.0551,0.0821,-0.1042,-334.4509,816,171,0.664
96,14010,2,0,MAINE,200,COHEN  W,0.089,-0.643,0.0335,0.0856,-0.0097,-376.75107,850,198,0.642
96,14703,33,0,MINNESO,200,DURENBERGER,0.086,-0.799,0.049,0.0985,-0.1855,-373.11377,865,175,0.65
96,11205,21,0,ILLINOI,200,PERCY  C,0.08,-0.861,0.0513,0.0932,-0.1407,-340.85223,849,173,0.669
96,11203,72,0,OREGON,200,HATFIELD  M,0.047,-0.991,0.0716,0.1226,-0.1315,-479.22012,864,239,0.574
96,14268,37,0,SOUTH D,200,PRESSLER  L,0.046,-0.244,0.0376,0.0661,-0.0864,-371.33252,717,199,0.596
96,13050,14,0,PENNSYL,200,HEINZ  J,0.025,-0.825,0.0523,0.1016,-0.1353,-316.09073,848,142,0.689
96,14500,5,0,RHODE I,200,CHAFEE  J,0.023,-1.001,0.0712,0.1385,-0.1136,-313.59,872,151,0.698
96,12032,1,0,CONNECT,200,WEICKER  L,0.023,-1,0.0731,0.1406,0.0503,-404.3063,829,200,0.614
96,10562,6,0,VERMONT,200,STAFFORD  R,0.021,-0.736,0.0469,0.08,-0.0284,-313.76349,796,140,0.674
96,14700,53,0,OKLAHOM,100,BOREN  D,-0.058,0.869,0.1579,0.1476,-0.0009,-361.56009,880,171,0.663
96,8883,46,0,MISSISS,100,STENNIS  J,-0.088,0.867,0.1574,0.1233,0.0288,-300.75955,770,146,0.677
96,14512,35,0,NEBRASK,100,ZORINSKY  E,-0.09,0.947,0.1645,0.1719,-0.1661,-437.70148,916,227,0.62
96,10535,52,0,MARYLAN,200,MATHIAS  C,-0.107,-1.009,0.074,0.1593,-0.0993,-222.79358,738,106,0.739
