congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
59,5108,12,0,NEW JER,200,KEAN,0.73,-0.63,0.1248,0.1274,0.0441,-22.42997,115,9,0.823
59,2147,3,0,MASSACH,200,CRANE,0.618,-0.184,0.0843,0.1606,0.0975,-6.38145,75,1,0.918
59,3439,4,0,NEW HAM,200,GALLINGER,0.568,-0.169,0.0217,0.0441,0.0252,-48.16792,114,19,0.655
59,2520,13,0,NEW YOR,200,DEPEW,0.538,-0.109,0.0773,0.1224,0.0745,-5.92647,26,4,0.796
59,1223,1,0,CONNECT,200,BULKELEY,0.532,-0.846,0.0763,0.1487,0.0958,-16.11561,102,5,0.854
59,8713,67,0,UTAH,200,SMOOT,0.531,-0.005,0.0496,0.1244,0.0406,-14.90153,88,7,0.844
59,2597,6,0,VERMONT,200,DILLINGHAM,0.527,-0.247,0.0461,0.0875,-0.0986,-16.2746,88,8,0.831
59,1295,4,0,NEW HAM,200,BURNHAM,0.524,-0.244,0.0605,0.093,0.2792,-23.70239,114,13,0.812
59,96,11,0,DELAWAR,200,ALLEE,0.515,-0.31,0.0971,0.1487,0.2896,-19.64483,93,6,0.81
59,9970,5,0,RHODE I,200,WETMORE,0.509,-0.5,0.0302,0.0553,-0.0774,-17.19869,90,4,0.826
59,4564,21,0,ILLINOI,200,HOPKINS,0.479,0.567,0.0706,0.1207,-0.1457,-16.39456,88,8,0.83
59,5738,3,0,MASSACH,200,LODGE,0.479,-0.236,0.0242,0.0524,-0.0599,-24.46474,105,10,0.792
59,2555,24,0,OHIO,200,DICK,0.477,-0.315,0.0487,0.0872,-0.0119,-17.67446,105,6,0.845
59,7332,14,0,PENNSYL,200,PENROSE,0.462,-0.017,0.0351,0.0556,0.517,-11.84687,76,5,0.856
59,7632,6,0,VERMONT,200,PROCTOR,0.455,-0.368,0.0795,0.149,-0.1689,-9.66868,38,3,0.775
59,6470,35,0,NEBRASK,200,MILLARD,0.444,-0.106,0.0707,0.1356,0.3737,-22.25284,101,9,0.802
59,71,5,0,RHODE I,200,ALDRICH,0.434,-0.462,0.0597,0.0953,-0.3258,-7.84007,78,4,0.904
59,8309,56,0,WEST VI,200,SCOTT,0.42,-0.303,0.0428,0.0793,-0.0797,-32.82262,99,17,0.718
59,978,1,0,CONNECT,200,BRANDEGEE,0.408,-0.28,0.0558,0.0904,0.1939,-32.34492,112,18,0.749
59,2736,12,0,NEW JER,200,DRYDEN,0.396,-0.231,0.0582,0.1177,-0.1282,-12.93146,57,5,0.797
59,5754,32,0,KANSAS,200,LONG,0.39,0.064,0.0663,0.1273,0.1774,-20.40212,116,8,0.839
59,208,73,0,WASHING,200,ANKENY,0.39,-0.199,0.0669,0.1034,-0.0105,-30.35185,109,12,0.757
59,1310,23,0,MICHIGA,200,BURROWS,0.377,-0.186,0.0419,0.0754,-0.0518,-29.56228,91,19,0.723
59,94,23,0,MICHIGA,200,ALGER,0.372,-0.717,0.0555,0.1263,-0.3146,-10.68136,44,4,0.784
59,9842,68,0,WYOMING,200,WARREN,0.367,0.014,0.0368,0.0351,0.2325,-23.52576,78,12,0.74
59,9092,67,0,UTAH,200,SUTHERLAND,0.361,-0.097,0.0683,0.1331,0.1513,-24.90252,106,17,0.791
59,3223,71,0,CALIFOR,200,FLINT,0.36,0.026,0.0348,0.0831,0.3752,-24.93968,110,12,0.797
59,3385,2,0,MAINE,200,FRYE,0.358,-0.304,0.0373,0.0938,-0.0502,-24.7551,82,9,0.739
59,5347,14,0,PENNSYL,200,KNOX,0.356,-0.155,0.0632,0.1214,0.0746,-20.83611,91,9,0.795
59,2781,11,0,DELAWAR,200,DUPONT,0.348,-0.227,0.0913,0.1525,-0.0028,-12.88407,25,6,0.597
59,6937,65,0,NEVADA,200,NIXON,0.346,-0.033,0.0398,0.0936,0.2387,-15.82262,78,9,0.816
59,4295,22,0,INDIANA,200,HEMENWAY,0.344,0.112,0.0738,0.1727,0.4105,-23.36392,76,11,0.735
59,3917,2,0,MAINE,200,HALE,0.343,-0.465,0.0449,0.1061,-0.2604,-30.00748,88,17,0.711
59,4377,63,0,IDAHO,200,HEYBURN,0.337,-0.684,0.0524,0.0956,-0.3176,-12.50983,57,4,0.803
59,2899,56,0,WEST VI,200,ELKINS,0.337,-0.118,0.04,0.0941,0.2028,-18.85411,54,9,0.705
59,1550,64,0,MONTANA,200,CARTER,0.332,0.369,0.053,0.0928,0.5104,-32.47612,109,14,0.742
59,1757,68,0,WYOMING,200,CLARK,0.328,0.071,0.0226,0.0564,0.1532,-26.15334,86,16,0.738
59,9838,34,0,MISSOUR,200,WARNER,0.319,0.296,0.0444,0.1305,0.557,-29.22271,115,12,0.776
59,7483,13,0,NEW YOR,200,PLATT,0.309,-0.526,0.0721,0.1754,-0.099,-9.67897,40,4,0.785
59,2239,21,0,ILLINOI,200,CULLOM,0.301,-0.119,0.0313,0.0595,0.1387,-25.24509,93,10,0.762
59,7452,73,0,WASHING,200,PILES,0.296,0.124,0.0318,0.1086,0.4949,-23.51675,115,9,0.815
59,3262,24,0,OHIO,200,FORAKER,0.255,-0.117,0.0312,0.0892,-0.0095,-32.15704,106,12,0.738
59,141,31,0,IOWA,200,ALLISON,0.231,-0.193,0.0547,0.1071,-0.038,-14.3394,44,10,0.722
59,5312,37,0,SOUTH D,200,KITTREDGE,0.23,0.142,0.0306,0.1188,0.0475,-31.90537,100,13,0.727
59,8800,25,0,WISCONS,200,SPOONER,0.228,-0.221,0.0337,0.1274,-0.452,-30.62238,98,11,0.732
59,6208,36,0,NORTH D,200,MCCUMBER,0.226,-0.143,0.0169,0.0579,-0.0152,-50.94307,110,23,0.629
59,3407,72,0,OREGON,200,FULTON,0.217,0.356,0.0403,0.1271,0.136,-19.39054,114,7,0.844
59,3447,37,0,SOUTH D,200,GAMBLE,0.215,0.308,0.0252,0.1047,0.1453,-17.95778,82,8,0.803
59,7345,71,0,CALIFOR,200,PERKINS,0.208,0.033,0.0241,0.0434,-0.1111,-35.13575,115,19,0.737
59,6870,33,0,MINNESO,200,NELSON,0.169,0.007,0.0114,0.0293,0.1299,-39.10561,105,19,0.689
59,1275,35,0,NEBRASK,200,BURKETT,0.134,0.912,0.0771,0.0642,0.1161,-29.1974,107,15,0.761
59,4042,36,0,NORTH D,200,HANSBROUGH,0.127,0.171,0.0332,0.101,0.0722,-44.03799,110,23,0.67
59,683,22,0,INDIANA,200,BEVERIDGE,0.078,0.609,0.0411,0.1081,0.1975,-17.40996,69,9,0.777
59,2648,31,0,IOWA,200,DOLLIVER,0.042,0.687,0.0535,0.0926,-0.1619,-20.29287,96,10,0.809
59,1746,33,0,MINNESO,200,CLAPP,0.007,0.771,0.063,0.0998,-0.2809,-22.43994,86,11,0.77
59,6235,45,0,LOUISIA,100,MCENERY,-0.029,-0.242,0.0167,0.1375,-0.3499,-27.5308,54,16,0.601
59,3312,45,0,LOUISIA,100,FOSTER,-0.173,-0.966,0.025,0.116,-0.0142,-25.02719,74,9,0.713
59,1793,42,0,ARKANSA,100,CLARKE,-0.181,-0.246,0.0675,0.1199,-0.4676,-33.05989,68,13,0.615
59,1785,64,0,MONTANA,100,CLARK,-0.203,-0.39,0.053,0.1075,-0.0235,-39.92684,72,22,0.574
59,6897,65,0,NEVADA,100,NEWLANDS,-0.214,-0.347,0.0686,0.1003,-0.2808,-16.58096,68,6,0.784
59,5401,25,0,WISCONS,200,LAFOLLETTE,-0.227,0.967,0.074,0.1197,-0.1702,-31.8383,108,20,0.745
59,8989,34,0,MISSOUR,100,STONE,-0.232,-0.576,0.0394,0.0924,-0.1417,-32.90532,95,15,0.707
59,6682,41,0,ALABAMA,100,MORGAN,-0.251,-0.236,0.036,0.0738,-0.0704,-27.74951,47,12,0.554
59,9246,62,0,COLORAD,100,TELLER,-0.284,0.086,0.0529,0.0725,-0.2385,-44.00568,89,25,0.61
59,7757,52,0,MARYLAN,100,RAYNER,-0.334,-0.681,0.0434,0.0746,0.0553,-25.37687,97,14,0.77
59,6040,40,0,VIRGINI,100,MARTIN,-0.336,-0.63,0.0383,0.0349,0.1163,-10.8946,70,4,0.856
59,9386,48,0,SOUTH C,100,TILLMAN,-0.345,-0.402,0.0197,0.0539,0.1757,-26.83464,91,13,0.745
59,7120,47,0,NORTH C,100,OVERMAN,-0.346,-0.804,0.0354,0.1164,0.1799,-21.71264,108,10,0.818
59,8514,47,0,NORTH C,100,SIMMONS,-0.353,-0.832,0.0473,0.1198,0.1171,-15.09495,93,4,0.85
59,5493,48,0,SOUTH C,100,LATIMER,-0.356,-0.829,0.0599,0.1409,-0.3308,-21.73188,96,6,0.797
59,7385,41,0,ALABAMA,100,PETTUS,-0.357,-0.173,0.0687,0.1366,-0.2261,-47.67547,88,17,0.582
59,10082,52,0,MARYLAN,100,WHYTE,-0.357,-1.293,0.1345,0.1295,0.3853,-15.34945,45,7,0.711
59,9166,43,0,FLORIDA,100,TALIAFERRO,-0.359,-0.788,0.0352,0.0888,0.0568,-18.09435,99,9,0.833
59,347,49,0,TEXAS,100,BAILEY,-0.375,-0.744,0.0538,0.1358,-0.007,-9.54485,59,5,0.851
59,6194,51,0,KENTUCK,100,MCCREARY,-0.405,-0.412,0.0638,0.1392,-0.3988,-19.65877,99,10,0.82
59,322,44,0,GEORGIA,100,BACON,-0.407,-0.417,0.0432,0.0708,0.1393,-27.94532,105,16,0.766
59,1806,44,0,GEORGIA,100,CLAY,-0.415,-0.023,0.083,0.0748,-0.2746,-23.63337,104,10,0.797
59,2738,63,0,IDAHO,100,DUBOIS,-0.426,-0.179,0.1228,0.1411,-0.1442,-17.25592,94,7,0.832
59,2229,49,0,TEXAS,100,CULBERSON,-0.431,-0.667,0.0404,0.0682,0.2797,-14.72169,88,7,0.846
59,3345,54,0,TENNESS,100,FRAZIER,-0.463,-0.554,0.079,0.1024,-0.3545,-13.58993,108,4,0.882
59,7255,62,0,COLORAD,100,PATTERSON,-0.466,0.428,0.1002,0.1249,-0.4692,-12.25534,69,4,0.837
59,6592,46,0,MISSISS,100,MONEY,-0.518,-0.682,0.0686,0.1096,0.0777,-16.04309,56,10,0.751
59,2325,40,0,VIRGINI,100,DANIEL,-0.52,-0.136,0.0694,0.1117,-0.0815,-33.95615,93,16,0.694
59,5943,43,0,FLORIDA,100,MALLORY,-0.543,0.079,0.1072,0.2232,-0.217,-14.52526,80,8,0.834
59,3519,72,0,OREGON,100,GEARIN,-0.554,0.413,0.0933,0.2934,-0.2897,-9.52433,55,5,0.841
59,1513,54,0,TENNESS,100,CARMACK,-0.599,-0.131,0.0717,0.1668,-0.2446,-12.08871,43,6,0.755
59,751,51,0,KENTUCK,100,BLACKBURN,-0.638,-0.227,0.0525,0.1139,-0.0535,-28.33096,106,13,0.765
59,674,42,0,ARKANSA,100,BERRY,-0.71,0.044,0.0653,0.1674,-0.0544,-12.70811,85,5,0.861
59,6330,46,0,MISSISS,100,MCLAURIN,-0.735,0.054,0.0491,0.2026,-0.074,-18.92482,79,5,0.787
