congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
51,6614,37,0,SOUTH D,200,MOODY  G.C.,0.397,0.792,0.0788,0.1177,-0.3878,-60.0065,332,24,0.835
51,7482,1,0,CONNECT,200,PLATT  O.H.,0.354,-0.908,0.0445,0.0989,-0.5483,-69.31853,426,34,0.85
51,2624,5,0,RHODE I,200,DIXON  N.F.,0.294,-0.644,0.0725,0.087,-0.25,-56.88152,398,30,0.867
51,6170,63,0,IDAHO,200,MCCONNELL,0.263,0.387,0.1548,0.1923,0.5165,-30.74012,102,15,0.74
51,7576,64,0,MONTANA,200,POWER  T.C.,0.259,0.512,0.062,0.142,0.4086,-81.30116,318,41,0.774
51,3385,2,0,MAINE,200,FRYE  W.P.,0.256,-0.399,0.051,0.0426,-0.075,-89.28794,449,42,0.82
51,765,4,0,NEW HAM,200,BLAIR  H.W.,0.256,-0.218,0.0743,0.0848,-0.0643,-107.70464,391,54,0.759
51,8489,63,0,IDAHO,200,SHOUP  G.L.,0.255,0.372,0.1089,0.2013,0.6309,-27.38338,111,16,0.781
51,71,5,0,RHODE I,200,ALDRICH  N.,0.244,-0.667,0.0487,0.0419,-0.1516,-38.55436,360,13,0.898
51,10234,31,0,IOWA,200,WILSON  J.F,0.239,0.04,0.0829,0.0631,0.1955,-73.57207,346,36,0.808
51,2855,6,0,VERMONT,200,EDMUNDS  G.,0.236,-0.98,0.0728,0.1379,-0.2286,-123.71738,385,68,0.725
51,2649,72,0,OREGON,200,DOLPH  J.N.,0.235,-0.134,0.0741,0.0803,-0.0853,-93.84723,373,38,0.778
51,1576,36,0,NORTH D,200,CASEY  L.R.,0.23,0.079,0.0994,0.1058,0.5037,-62.0692,364,27,0.843
51,113,73,0,WASHING,200,ALLEN  J.B.,0.229,0.249,0.0764,0.097,0.5766,-90.036,440,37,0.815
51,8201,64,0,MONTANA,200,SANDERS  W.,0.227,0.311,0.0851,0.1341,0.6717,-68.18736,298,30,0.795
51,4397,11,0,DELAWAR,200,HIGGINS  A.,0.225,-0.253,0.0809,0.1022,-0.0618,-58.06127,337,28,0.842
51,4452,13,0,NEW YOR,200,HISCOCK  F.,0.225,-0.671,0.0691,0.0864,-0.2678,-58.42245,400,28,0.864
51,9842,68,0,WYOMING,200,WARREN  F.E,0.225,0.265,0.0703,0.0915,0.4154,-30.92358,114,15,0.762
51,2423,3,0,MASSACH,200,DAWES  H.L.,0.216,-0.475,0.0588,0.0541,-0.1058,-66.39339,394,27,0.845
51,1502,68,0,WYOMING,200,CAREY  J.M.,0.216,-0.07,0.0817,0.1166,0.0374,-22.41227,112,10,0.819
51,8957,23,0,MICHIGA,200,STOCKBRIDGE,0.198,-0.246,0.063,0.098,0.1409,-88.57867,419,31,0.809
51,3917,2,0,MAINE,200,HALE  E.,0.197,-0.335,0.0506,0.0403,0.0499,-105.82865,352,49,0.74
51,6696,6,0,VERMONT,200,MORRILL  J.,0.195,-0.945,0.0574,0.073,-0.2373,-68.23746,277,41,0.782
51,1641,4,0,NEW HAM,200,CHANDLER  W,0.188,-0.157,0.0768,0.0648,0.1199,-71.76144,270,36,0.767
51,8239,25,0,WISCONS,200,SAWYER  P.,0.183,-0.307,0.0544,0.0653,-0.0141,-90.11669,487,44,0.831
51,7148,35,0,NEBRASK,200,PADDOCK  A.,0.181,0.543,0.0347,0.1272,0.5084,-128.31421,361,62,0.701
51,141,31,0,IOWA,200,ALLISON  W.,0.177,-0.04,0.0392,0.0498,-0.0822,-120.90618,420,66,0.75
51,7379,37,0,SOUTH D,200,PETTIGREW,0.171,0.531,0.158,0.3509,0.5299,-46.1265,150,21,0.735
51,4220,1,0,CONNECT,200,HAWLEY  J.R,0.169,-0.68,0.0436,0.0321,-0.1296,-77.55029,453,26,0.843
