congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
33,969,6,0,VERMONT,300,BRAINERD,0.692,-0.277,0.0827,0.1558,0.5211,-44.6123,155,19,0.75
33,3602,1,0,CONNECT,300,GILLETTE,0.62,-0.722,0.127,0.1203,0.4137,-101.63036,349,63,0.747
33,1672,24,0,OHIO,300,CHASE  S.P.,0.419,-0.908,0.0552,0.1399,0.0374,-193.31302,460,115,0.657
33,9698,24,0,OHIO,29,WADE  B.F.,0.208,-0.304,0.1273,0.0796,0.0229,-139.19011,456,77,0.737
33,4001,2,0,MAINE,100,HAMLIN  H.,0.195,-1.357,0.0974,0.1519,-0.1764,-114.89044,233,69,0.611
33,8378,13,0,NEW YOR,29,SEWARD  W.,0.151,-0.198,0.1113,0.063,-0.0084,-115.94557,389,62,0.742
33,9083,3,0,MASSACH,300,SUMNER  C.,0.149,-0.478,0.1559,0.0781,-0.0944,-178.98645,479,105,0.688
33,8004,3,0,MASSACH,29,ROCKWELL,0.148,0.049,0.144,0.1553,0.3058,-70.18651,215,34,0.721
33,8691,1,0,CONNECT,29,SMITH  T.,0.147,0.152,0.1001,0.0887,0.1421,-13.35425,61,6,0.803
33,3127,2,0,MAINE,29,FESSENDEN,0.138,-0.012,0.186,0.072,0.0411,-112.66338,356,51,0.729
33,3256,6,0,VERMONT,29,FOOT  S.,0.129,0.196,0.1426,0.0527,0.075,-133.44186,434,67,0.735
33,10225,3,0,MASSACH,310,WILSON  H.,0.122,-0.326,0.1494,0.0861,-0.1481,-58.55539,97,28,0.547
33,3160,13,0,NEW YOR,29,FISH  H.,0.023,0.197,0.1244,0.0742,0.0111,-108.04457,284,49,0.684
33,1822,11,0,DELAWAR,29,CLAYTON  J.,0.006,1.111,0.0924,0.2514,0.4592,-87.27119,297,42,0.745
33,2048,14,0,PENNSYL,29,COOPER  J.,-0.027,0.183,0.1119,0.0521,0.2861,-132.30663,278,70,0.621
33,3026,3,0,MASSACH,29,EVERETT  E.,-0.03,0.065,0.1806,0.1429,0.3471,-26.88717,95,10,0.754
33,606,54,0,TENNESS,29,BELL  J.,-0.167,0.377,0.1331,0.0375,0.2763,-169.60405,387,92,0.645
33,4881,5,0,RHODE I,100,JAMES  C.T.,-0.176,-0.561,0.1228,0.0725,-0.2194,-118.43262,320,55,0.691
33,330,47,0,NORTH C,29,BADGER  G.,-0.192,0.619,0.1549,0.0913,0.3099,-149.17255,372,75,0.67
33,9743,25,0,WISCONS,100,WALKER  I.,-0.243,-0.97,0.1854,0.0722,-0.2403,-188.28661,392,90,0.619
33,9330,51,0,KENTUCK,29,THOMPSON,-0.244,0.838,0.1577,0.0857,0.1741,-157.50653,379,83,0.66
33,7596,52,0,MARYLAN,29,PRATT  T.G.,-0.276,0.623,0.1447,0.0473,0.2805,-167.50887,362,80,0.63
33,3548,34,0,MISSOUR,29,GEYER  H.S.,-0.293,0.195,0.1343,0.049,-0.0028,-215.67374,408,123,0.589
33,2615,51,0,KENTUCK,29,DIXON  A.,-0.296,0.595,0.1474,0.1264,0.2371,-32.27189,99,15,0.722
33,2642,25,0,WISCONS,100,DODGE  H.,-0.317,-0.952,0.1449,0.1047,-0.1547,-168.5733,399,84,0.655
33,7282,52,0,MARYLAN,29,PEARCE  J.,-0.319,0.927,0.1434,0.0668,0.0368,-126.93919,327,67,0.678
33,8470,21,0,ILLINOI,100,SHIELDS  J.,-0.324,-0.447,0.1276,0.0485,0.1374,-142.45117,326,75,0.646
33,5040,54,0,TENNESS,29,JONES  J.C.,-0.327,0.41,0.1457,0.0461,0.0177,-223.425,400,125,0.572
33,9052,23,0,MICHIGA,100,STUART  C.,-0.339,-0.86,0.1328,0.0794,-0.228,-234.83571,497,133,0.623
33,7383,22,0,INDIANA,100,PETTIT  J.,-0.371,-0.645,0.1246,0.0972,-0.1119,-226.48798,408,129,0.574
33,9352,12,0,NEW JER,100,THOMSON  J.,-0.393,-0.088,0.1334,0.0676,-0.0278,-136.07338,283,73,0.618
33,2692,21,0,ILLINOI,100,DOUGLAS  S.,-0.397,-0.734,0.1276,0.0524,-0.0006,-144.00594,346,66,0.66
33,1582,23,0,MICHIGA,100,CASS  L.,-0.411,-0.541,0.1117,0.0763,0.085,-116.45142,271,56,0.651
33,627,45,0,LOUISIA,29,BENJAMIN,-0.415,0.222,0.1081,0.0371,0.2703,-218.05023,398,129,0.578
33,123,5,0,RHODE I,100,ALLEN  P.,-0.421,-0.151,0.1154,0.0529,0.0881,-255.53662,405,136,0.532
33,2431,44,0,GEORGIA,29,DAWSON  W.,-0.428,0.904,0.1763,0.06,-0.4631,-152.64526,424,74,0.698
33,10400,12,0,NEW JER,100,WRIGHT  W.,-0.435,-0.144,0.0819,0.0646,0.2406,-92.98451,197,48,0.624
33,6739,43,0,FLORIDA,29,MORTON  J.,-0.447,0.848,0.1579,0.0513,-0.0057,-139.24518,292,79,0.621
33,525,11,0,DELAWAR,100,BAYARD  J.,-0.459,0.555,0.1382,0.0615,0.127,-207.05931,358,109,0.561
33,2640,31,0,IOWA,100,DODGE  A.C.,-0.461,-0.888,0.1277,0.0665,-0.0443,-148.63547,392,69,0.684
33,6961,4,0,NEW HAM,100,NORRIS  M.,-0.465,-0.81,0.1164,0.0518,-0.0579,-164.33649,222,90,0.477
33,5032,31,0,IOWA,100,JONES  G.W.,-0.47,-0.658,0.1014,0.0469,0.1507,-143.60756,380,64,0.685
33,4615,49,0,TEXAS,100,HOUSTON  S.,-0.475,-0.01,0.0818,0.0327,0.236,-190.81548,303,83,0.533
33,8121,49,0,TEXAS,100,RUSK  T.J.,-0.491,0.019,0.089,0.0446,0.155,-247.94629,456,141,0.581
33,9945,4,0,NEW HAM,100,WELLS  J.S.,-0.511,0.386,0.1118,0.1274,-0.1046,-66.10126,125,31,0.589
33,3887,71,0,CALIFOR,100,GWIN  W.M.,-0.518,-0.569,0.0873,0.0502,0.1616,-163.96529,363,77,0.637
33,8339,42,0,ARKANSA,100,SEBASTIAN,-0.519,-0.054,0.0674,0.0435,0.2022,-159.04446,400,66,0.672
33,4990,42,0,ARKANSA,100,JOHNSON  R.,-0.526,0.055,0.0671,0.0463,0.332,-140.68198,331,65,0.654
33,9423,44,0,GEORGIA,29,TOOMBS  R.,-0.531,0.847,0.1298,0.0825,0.1606,-129.09785,277,60,0.627
33,9934,71,0,CALIFOR,100,WELLER  J.,-0.535,-0.462,0.0677,0.0717,0.2675,-222.98546,473,114,0.624
33,1061,14,0,PENNSYL,100,BRODHEAD,-0.539,0.149,0.0786,0.0476,0.1414,-274.17511,426,147,0.525
33,1095,46,0,MISSISS,100,BROWN  A.G.,-0.542,-0.02,0.0767,0.0414,0.2008,-241.41821,427,115,0.568
33,1038,22,0,INDIANA,100,BRIGHT  J.,-0.543,-0.67,0.055,0.0444,0.2518,-223.86642,364,121,0.541
33,5942,43,0,FLORIDA,100,MALLORY  S.,-0.559,0.113,0.0666,0.045,0.0564,-170.8764,370,89,0.63
33,9425,1,0,CONNECT,100,TOUCEY  I.,-0.581,-0.003,0.07,0.0631,0.141,-158.35825,374,84,0.655
33,8575,45,0,LOUISIA,100,SLIDELL  J.,-0.585,0.172,0.0624,0.0529,0.2862,-203.3414,421,103,0.617
33,3015,48,0,SOUTH C,100,EVANS  J.J.,-0.611,0.771,0.1406,0.074,-0.0144,-173.44508,456,78,0.684
33,277,34,0,MISSOUR,100,ATCHISON,-0.63,0.269,0.0649,0.0726,-0.0759,-152.08093,324,80,0.625
33,1334,48,0,SOUTH C,100,BUTLER  A.,-0.635,0.791,0.1406,0.0997,-0.3635,-126.77579,332,54,0.683
33,41,46,0,MISSISS,100,ADAMS  S.,-0.638,0.289,0.0559,0.0625,0.0377,-192.21364,389,105,0.61
33,7808,47,0,NORTH C,100,REID  D.S.,-0.64,0.624,0.0837,0.0621,0.4908,-17.58746,46,9,0.682
33,4759,40,0,VIRGINI,100,HUNTER  R.,-0.661,0.615,0.0785,0.0358,0.145,-153.99834,429,70,0.698
33,6053,40,0,VIRGINI,100,MASON  J.M.,-0.664,0.574,0.0791,0.0378,0.2542,-147.54253,411,73,0.698
33,10156,4,0,NEW HAM,100,WILLIAMS,-0.685,-0.323,0.0719,0.1254,-0.1725,-64.58601,177,27,0.694
33,1808,41,0,ALABAMA,100,CLAY  C.C.,-0.706,0.709,0.1839,0.1136,-0.409,-138.44208,397,57,0.706
33,3192,41,0,ALABAMA,100,FITZPATRICK,-0.77,0.566,0.1486,0.1062,-0.1263,-175.51212,477,82,0.692
