congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
97,14105,47,0,NORTH C,200,HELMS  J,0.637,0.598,0.0241,0.1423,-0.3921,-146.35974,818,67,0.836
97,3658,61,0,ARIZONA,200,GOLDWATER,0.629,-0.933,0.0508,0.1682,-0.0937,-194.38777,552,76,0.703
97,14056,63,0,IDAHO,200,SYMMS  S,0.625,-0.041,0.0441,0.0988,-0.1573,-167.91243,803,75,0.811
97,14903,47,0,NORTH C,200,EAST  J,0.606,0.34,0.039,0.0558,-0.3724,-143.91002,811,72,0.837
97,14706,4,0,NEW HAM,200,HUMPHREY  G,0.571,-0.085,0.03,0.0779,-0.1324,-360.14963,809,143,0.641
97,14002,62,0,COLORAD,200,ARMSTRONG,0.525,-0.183,0.0298,0.0668,-0.0318,-248.27773,793,111,0.731
97,11029,63,0,IDAHO,200,MCCLURE  J,0.51,-0.186,0.0404,0.0937,-0.07,-217.25194,767,92,0.753
97,99907,99,0,USA,200,REAGAN,0.49,-0.872,0.0788,0.1341,-0.128,-53.46807,209,25,0.774
97,14303,67,0,UTAH,200,GARN  J,0.469,-0.346,0.0372,0.1106,-0.0381,-186.68144,802,80,0.792
97,14077,65,0,NEVADA,200,LAXALT  P,0.46,-0.391,0.0298,0.1093,-0.0589,-131.76833,771,52,0.843
97,14901,41,0,ALABAMA,200,DENTON  J,0.457,-0.04,0.0334,0.0563,-0.1776,-169.82721,767,75,0.801
97,14511,68,0,WYOMING,200,WALLOP  M,0.451,-0.653,0.0208,0.1117,-0.0816,-162.78127,757,65,0.807
97,14447,22,0,INDIANA,200,QUAYLE  J D,0.434,-0.897,0.0256,0.0949,-0.3383,-267.44891,811,129,0.719
97,9369,48,0,SOUTH C,200,THURMOND  S,0.402,0.042,0.0357,0.059,-0.0979,-146.66556,795,61,0.832
97,14503,67,0,UTAH,200,HATCH  O,0.4,-0.1,0.0457,0.0447,-0.1499,-206.8223,793,89,0.77
97,14908,53,0,OKLAHOM,200,NICKLES  D,0.399,0.488,0.0465,0.0652,-0.1992,-216.65495,814,98,0.766
97,14504,71,0,CALIFOR,200,HAYAKAWA  S,0.397,-0.819,0.0233,0.1109,-0.1108,-210.34355,744,98,0.754
97,10823,49,0,TEXAS,200,TOWER  J,0.385,-0.464,0.0281,0.1467,-0.1895,-182.8559,751,81,0.784
97,14710,68,0,WYOMING,200,SIMPSON  A,0.329,-0.461,0.0184,0.1076,-0.0923,-182.36778,795,76,0.795
97,14510,66,0,NEW MEX,200,SCHMITT  H,0.326,-0.588,0.0191,0.1182,-0.1267,-201.61598,745,93,0.763
97,14506,22,0,INDIANA,200,LUGAR  R,0.313,-0.594,0.0192,0.0832,0.0252,-202.79611,807,86,0.778
97,14906,44,0,GEORGIA,200,MATTINGLY,0.309,-0.001,0.049,0.0459,-0.0597,-188.38542,808,90,0.792
97,14911,12,0,NEW JER,200,BRADY  N,0.295,-0.846,0.0419,0.1562,-0.3868,-78.14336,330,34,0.789
97,14707,31,0,IOWA,200,JEPSEN  R,0.294,-0.104,0.0565,0.0546,-0.1823,-199.38739,800,86,0.779
97,10513,32,0,KANSAS,200,DOLE  R,0.283,-0.458,0.0143,0.0952,0.0814,-203.41676,806,84,0.777
97,11044,11,0,DELAWAR,200,ROTH  W,0.281,-0.656,0.0107,0.0987,-0.1235,-423.64911,802,195,0.59
97,14909,4,0,NEW HAM,200,RUDMAN  W,0.27,-0.795,0.0303,0.1078,-0.1322,-234.85893,804,116,0.747
97,14907,81,0,ALASKA,200,MURKOWSKI,0.263,-0.545,0.0193,0.0624,0.0157,-186.11574,769,74,0.785
97,11200,54,0,TENNESS,200,BAKER  H,0.254,-0.622,0.0193,0.1086,-0.0978,-174.33926,792,74,0.802
97,14712,40,0,VIRGINI,200,WARNER  J,0.249,-0.094,0.0415,0.0412,-0.1964,-231.25502,799,92,0.749
97,14000,37,0,SOUTH D,200,ABDNOR  J,0.231,0.062,0.0626,0.0353,-0.0533,-210.30093,803,106,0.77
97,14009,46,0,MISSISS,200,COCHRAN  T,0.219,-0.355,0.041,0.0512,-0.0341,-213.0869,778,93,0.76
97,14226,31,0,IOWA,200,GRASSLEY  C,0.217,-0.187,0.049,0.0593,-0.0905,-267.13412,812,132,0.72
97,14103,66,0,NEW MEX,200,DOMENICI  P,0.217,-0.361,0.0183,0.0917,-0.128,-179.218,793,81,0.798
97,10802,40,0,VIRGINI,328,BYRD  HF,0.21,1.099,0.1449,0.2868,-0.1789,-292.54462,799,142,0.693
97,14242,25,0,WISCONS,200,KASTEN  R,0.205,-0.075,0.0455,0.0586,-0.1278,-272.9136,813,139,0.715
97,14701,33,0,MINNESO,200,BOSCHWITZ,0.204,-0.846,0.0363,0.0925,-0.2356,-301.01056,805,155,0.688
97,14904,73,0,WASHING,200,GORTON  S,0.193,-0.894,0.0419,0.1045,-0.1686,-229.61102,817,97,0.755
97,14708,32,0,KANSAS,200,KASSEBAUM,0.177,-0.649,0.0205,0.1032,-0.1713,-270.03461,794,132,0.712
97,12109,81,0,ALASKA,200,STEVENS  T,0.172,-0.642,0.0211,0.0796,-0.0787,-213.74055,765,92,0.756
97,14905,43,0,FLORIDA,200,HAWKINS  P,0.147,-0.046,0.0517,0.0538,0.0612,-279.62903,793,116,0.703
97,14501,34,0,MISSOUR,200,DANFORTH  J,0.143,-0.673,0.0221,0.0896,-0.1891,-217.673,781,95,0.757
97,14900,13,0,NEW YOR,200,DAMATO  A,0.116,-0.36,0.0182,0.0655,-0.0696,-260.86545,801,120,0.722
97,12107,72,0,OREGON,200,PACKWOOD  R,0.105,-0.802,0.0522,0.0852,-0.0819,-241.86833,796,101,0.738
97,11205,21,0,ILLINOI,200,PERCY  C,0.087,-0.853,0.0454,0.1024,-0.1553,-285.22345,783,140,0.695
97,14268,37,0,SOUTH D,200,PRESSLER  L,0.085,-0.243,0.0335,0.0626,-0.0517,-378.56174,750,173,0.604
97,14010,2,0,MAINE,200,COHEN  W,0.081,-0.644,0.03,0.0845,-0.0176,-334.25641,790,174,0.655
97,14703,33,0,MINNESO,200,DURENBERGER,0.081,-0.8,0.046,0.0983,-0.1534,-262.40726,750,124,0.705
97,11203,72,0,OREGON,200,HATFIELD  M,0.042,-0.992,0.0658,0.127,-0.1202,-283.65506,781,131,0.695
97,13050,14,0,PENNSYL,200,HEINZ  J,0.025,-0.774,0.0443,0.0949,-0.0691,-234.30615,734,121,0.727
97,14500,5,0,RHODE I,200,CHAFEE  J,0.025,-1.001,0.0667,0.1386,-0.1069,-231.23615,800,108,0.749
97,10562,6,0,VERMONT,200,STAFFORD  R,0.019,-0.76,0.0462,0.0913,0.0196,-236.66801,754,111,0.731
97,10569,36,0,NORTH D,200,ANDREWS  M,0.015,-0.112,0.0455,0.042,0.1101,-286.66431,798,127,0.698
97,12032,1,0,CONNECT,200,WEICKER  L,-0.01,-1.046,0.077,0.1624,0.1255,-320.2865,718,145,0.64
97,14910,14,0,PENNSYL,200,SPECTER  A,-0.021,-0.618,0.0339,0.0681,-0.1111,-284.85587,809,136,0.703
97,14512,35,0,NEBRASK,100,ZORINSKY  E,-0.064,0.998,0.1589,0.1852,-0.1366,-267.09064,785,116,0.712
97,14700,53,0,OKLAHOM,100,BOREN  D,-0.08,0.866,0.15,0.1411,0.0064,-277.41733,785,114,0.702
97,8883,46,0,MISSISS,100,STENNIS  J,-0.101,0.867,0.1654,0.1402,0.0746,-305.32037,753,162,0.667
