congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
37,1642,23,0,MICHIGA,200,CHANDLER,0.43,0.421,0.1104,0.093,-0.027,-176.19235,653,83,0.764
37,718,23,0,MICHIGA,200,BINGHAM,0.402,0.573,0.087,0.1747,-0.0642,-23.85352,92,14,0.772
37,10121,33,0,MINNESO,200,WILKINSON,0.355,0.673,0.076,0.0739,-0.0226,-204.47885,616,100,0.718
37,5269,13,0,NEW YOR,200,KING,0.305,0.452,0.0777,0.097,-0.0055,-299.02841,729,164,0.664
37,9698,24,0,OHIO,200,WADE,0.276,0.241,0.0977,0.0446,0.1534,-254.60854,666,124,0.682
37,3834,31,0,IOWA,200,GRIMES,0.24,0.724,0.0366,0.0602,0.2431,-309.26779,707,173,0.646
37,10208,14,0,PENNSYL,200,WILMOT,0.207,0.207,0.135,0.1933,-0.0856,-173.74651,498,82,0.705
37,4077,31,0,IOWA,200,HARLAN,0.17,0.25,0.0572,0.0523,0.125,-278.37106,691,133,0.668
37,7518,32,0,KANSAS,200,POMEROY,0.148,0.238,0.0526,0.0605,0.0538,-296.06076,663,149,0.64
37,4627,23,0,MICHIGA,200,HOWARD,0.146,0.284,0.0384,0.0635,0.0014,-257.94781,554,136,0.628
37,10225,3,0,MASSACH,200,WILSON H.,0.128,-0.194,0.0967,0.046,-0.1292,-241.45723,712,116,0.712
37,9083,3,0,MASSACH,200,SUMNER,0.125,-0.239,0.0854,0.0465,-0.0161,-269.72681,767,135,0.704
37,6697,2,0,MAINE,200,MORRILL,0.107,-0.455,0.0973,0.0518,-0.1435,-190.70244,693,71,0.759
37,1759,4,0,NEW HAM,200,CLARK,0.086,-0.577,0.1038,0.0535,-0.0965,-233.31155,763,105,0.737
37,3922,4,0,NEW HAM,200,HALE,0.078,0.116,0.046,0.0463,0.0286,-279.14746,493,129,0.568
37,5443,32,0,KANSAS,200,LANE J.,0.051,0.013,0.0354,0.054,-0.0198,-257.63763,600,136,0.651
37,5442,22,0,INDIANA,200,LANE H.,0.03,0.3,0.0322,0.0614,0.1313,-278.7059,701,129,0.672
37,4642,25,0,WISCONS,200,HOWE,0.024,-0.099,0.0436,0.0438,-0.0783,-298.11963,663,155,0.638
37,3127,2,0,MAINE,200,FESSENDEN,0.022,-0.581,0.0798,0.0425,0.0286,-267.66351,726,135,0.692
37,9492,21,0,ILLINOI,200,TRUMBULL,0.021,0.132,0.0413,0.0328,0.0206,-411.91989,729,223,0.568
37,3256,6,0,VERMONT,200,FOOT,0.009,-0.386,0.0799,0.0461,-0.0137,-264.42026,733,125,0.697
37,8454,24,0,OHIO,200,SHERMAN,-0.005,0.012,0.0154,0.0299,0.0557,-287.53079,640,140,0.638
37,8516,5,0,RHODE I,200,SIMMONS,-0.024,-0.593,0.0993,0.0756,-0.0151,-99.04199,354,46,0.756
37,10394,22,0,INDIANA,206,WRIGHT,-0.025,0.63,0.1344,0.1677,0.1123,-147.07591,371,71,0.673
37,4057,72,0,OREGON,100,HARDING,-0.036,0.577,0.0833,0.156,0.2887,-77.5086,181,41,0.652
37,3310,1,0,CONNECT,200,FOSTER,-0.042,-0.826,0.094,0.0629,-0.014,-241.87439,748,122,0.724
37,9255,12,0,NEW JER,200,TENEYCK,-0.051,-0.476,0.0775,0.0765,0.0158,-262.76855,719,121,0.694
37,212,5,0,RHODE I,200,ANTHONY,-0.054,-0.788,0.0801,0.0552,0.0007,-227.32707,716,103,0.728
37,1940,6,0,VERMONT,200,COLLAMER,-0.08,-0.566,0.076,0.0552,0.1996,-205.48088,617,110,0.717
37,4103,13,0,NEW YOR,200,HARRIS,-0.082,-0.434,0.0417,0.0475,0.0209,-277.11337,703,140,0.674
37,2668,25,0,WISCONS,200,DOOLITTLE,-0.098,-0.512,0.0582,0.045,0.1272,-306.70029,702,163,0.646
37,2617,1,0,CONNECT,200,DIXON,-0.12,-0.844,0.0818,0.0856,0.012,-242.74796,663,115,0.693
37,4310,34,0,MISSOUR,206,HENDERSON,-0.157,0.033,0.0382,0.0456,0.058,-225.81865,500,105,0.637
37,361,72,0,OREGON,200,BAKER,-0.172,-0.454,0.1169,0.1736,0.3145,-10.88098,45,2,0.785
37,247,5,0,RHODE I,200,ARNOLD,-0.202,-0.979,0.1369,0.2004,0.1201,-76.32308,204,39,0.688
