congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
101,14105,47,0,NORTH C,200,HELMS  JESS,0.725,0.543,0.0272,0.1791,-0.3287,-111.54455,496,42,0.799
101,14056,63,0,IDAHO,200,SYMMS  STEV,0.677,-0.019,0.0363,0.0595,-0.0352,-81.28319,488,36,0.847
101,14511,68,0,WYOMING,200,WALLOP  MAL,0.621,-0.614,0.0328,0.0543,0.0005,-107.74577,495,51,0.804
101,14706,4,0,NEW HAM,200,HUMPHREY  G,0.586,-0.273,0.0408,0.0696,-0.169,-242.64897,486,109,0.607
101,14002,62,0,COLORAD,200,ARMSTRONG,0.568,-0.255,0.0369,0.0725,-0.1615,-118.89314,431,47,0.759
101,11029,63,0,IDAHO,200,MCCLURE  JA,0.545,-0.154,0.032,0.0606,-0.1194,-139.34444,489,70,0.752
101,14628,49,0,TEXAS,200,GRAMM  WILL,0.526,-0.259,0.0137,0.0424,-0.0123,-115.68795,481,52,0.786
101,14908,53,0,OKLAHOM,200,NICKLES  DO,0.495,0.073,0.0181,0.0438,-0.0648,-106.41817,496,48,0.807
101,14303,67,0,UTAH,200,GARN  JAKE,0.485,-0.332,0.0194,0.0484,-0.035,-114.03994,481,57,0.789
101,14031,46,0,MISSISS,200,LOTT TRENT,0.444,0.155,0.0227,0.1091,-0.0629,-111.33872,477,47,0.792
101,15037,43,0,FLORIDA,200,MACK  CONNI,0.434,-0.319,0.0217,0.073,-0.0105,-149.34023,490,67,0.737
101,99908,99,0,USA,200,BUSH,0.431,-0.878,0.071,0.137,0.0668,-36.19881,133,12,0.762
101,14503,67,0,UTAH,200,HATCH  ORRI,0.397,-0.134,0.0199,0.0381,-0.0707,-182.29153,497,73,0.693
101,9369,48,0,SOUTH C,200,THURMOND  J,0.391,0,0.0168,0.0231,-0.0632,-104.86411,500,38,0.811
101,14806,22,0,INDIANA,200,COATS  DANI,0.359,-0.51,0.0208,0.0846,-0.0778,-145.56342,484,63,0.74
101,15039,61,0,ARIZONA,200,MCCAIN  JOH,0.337,-0.742,0.0232,0.0765,-0.279,-171.28683,484,74,0.702
101,14921,51,0,KENTUCK,200,MCCONNELL J,0.332,-0.172,0.0145,0.0411,0.0521,-131.5835,497,51,0.767
101,15701,64,0,MONTANA,200,BURNS  CONR,0.331,0.069,0.0349,0.0562,0.0318,-122.97132,493,49,0.779
101,14915,71,0,CALIFOR,200,WILSON  PET,0.313,-0.508,0.0134,0.0803,-0.0041,-195.22563,435,94,0.638
101,14907,81,0,ALASKA,200,MURKOWSKI,0.304,-0.433,0.0103,0.0587,0.0181,-152.25877,487,70,0.732
101,10513,32,0,KANSAS,200,DOLE  BOB,0.302,-0.462,0.0113,0.0748,0.0197,-154.2628,498,68,0.734
101,14506,22,0,INDIANA,200,LUGAR  RICH,0.291,-0.59,0.0113,0.0828,0.0812,-136.72281,489,54,0.756
101,14226,31,0,IOWA,200,GRASSLEY  C,0.291,-0.207,0.0196,0.0459,-0.0431,-207.3042,500,93,0.661
101,15501,34,0,MISSOUR,200,BOND  CHRIS,0.28,-0.455,0.0115,0.0849,-0.0901,-164.80586,491,72,0.715
101,14710,68,0,WYOMING,200,SIMPSON  AL,0.28,-0.467,0.0103,0.0715,-0.0132,-149.07687,480,58,0.733
101,11044,11,0,DELAWAR,200,ROTH  WILLI,0.265,-0.66,0.0145,0.0775,-0.0888,-245.18863,493,113,0.608
101,14009,46,0,MISSISS,200,COCHRAN  TH,0.258,-0.276,0.0213,0.0387,0.0203,-136.2216,494,63,0.759
101,14701,33,0,MINNESO,200,BOSCHWITZ,0.254,-0.711,0.0218,0.1016,-0.1051,-157.18353,478,63,0.72
101,14242,25,0,WISCONS,200,KASTEN  ROB,0.253,-0.069,0.0254,0.0483,0.2118,-158.65132,500,67,0.728
101,14909,4,0,NEW HAM,200,RUDMAN  WAR,0.252,-0.77,0.0248,0.0863,-0.0438,-209.85013,485,106,0.649
101,14712,40,0,VIRGINI,200,WARNER  JOH,0.245,-0.193,0.0262,0.0447,-0.0472,-171.29173,498,91,0.709
101,14268,37,0,SOUTH D,200,PRESSLER  L,0.242,-0.24,0.0184,0.0592,0.1299,-310.79657,490,133,0.53
101,14103,66,0,NEW MEX,200,DOMENICI  P,0.226,-0.359,0.0137,0.0809,-0.0347,-173.45775,479,84,0.696
101,14904,73,0,WASHING,200,GORTON  SLA,0.222,-0.76,0.0273,0.0862,-0.1178,-166.00003,500,68,0.717
101,12109,81,0,ALASKA,200,STEVENS  TH,0.192,-0.581,0.0154,0.07,0.0208,-203.70563,489,101,0.659
101,14708,32,0,KANSAS,200,KASSEBAUM,0.164,-0.677,0.0178,0.0782,-0.0896,-195.8217,491,80,0.671
101,14501,34,0,MISSOUR,200,DANFORTH  J,0.161,-0.753,0.0257,0.0859,-0.2289,-202.48083,495,104,0.664
101,14900,13,0,NEW YOR,200,D'AMATO  AL,0.146,-0.34,0.0135,0.0523,0.077,-221.05664,496,118,0.64
101,12107,72,0,OREGON,200,PACKWOOD  R,0.08,-0.805,0.0407,0.103,-0.0155,-184.61346,483,75,0.682
101,14703,33,0,MINNESO,200,DURENBERGER,0.058,-0.802,0.034,0.1033,-0.1189,-206.33426,483,100,0.652
101,14010,2,0,MAINE,200,COHEN  WILL,0.051,-0.648,0.0203,0.0861,0.0649,-212.94887,500,118,0.653
101,14500,5,0,RHODE I,200,CHAFEE  JOH,0.032,-0.999,0.0487,0.1402,-0.0451,-181.53777,491,77,0.691
