congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
46,597,4,0,NEW HAM,200,BELL  C.H.,0.344,-0.939,0.1239,0.3119,0.602,-10.64797,85,5,0.882
46,8226,35,0,NEBRASK,200,SAUNDERS  A,0.298,0.553,0.0571,0.0914,0.4362,-88.32249,439,42,0.818
46,1642,23,0,MICHIGA,200,CHANDLER  Z,0.289,-0.324,0.2211,0.0932,0.1353,-12.91584,135,7,0.909
46,7489,32,0,KANSAS,200,PLUMB  P.B.,0.268,0.756,0.0412,0.0677,0.3202,-100.30322,280,49,0.699
46,6355,33,0,MINNESO,200,MCMILLAN  S,0.251,-0.043,0.0982,0.0487,0.0387,-76.40377,465,29,0.848
46,9246,62,0,COLORAD,200,TELLER  H.M,0.241,0.208,0.0953,0.078,0.2623,-122.50122,398,73,0.735
46,7482,1,0,CONNECT,200,PLATT  O.H.,0.241,-1.113,0.086,0.1793,-0.4263,-90.86436,413,37,0.803
46,1155,46,0,MISSISS,200,BRUCE  B.K.,0.239,0.679,0.0426,0.0868,0.3045,-36.97498,196,20,0.828
46,4420,62,0,COLORAD,200,HILL  N.P.,0.235,0.226,0.0589,0.0825,0.3976,-61.28524,369,22,0.847
46,384,23,0,MICHIGA,200,BALDWIN  H.,0.221,-0.185,0.1385,0.15,0.1663,-53.32419,253,22,0.81
46,7148,35,0,NEBRASK,200,PADDOCK  A.,0.196,0.539,0.0238,0.0708,0.4557,-66.86492,288,39,0.793
46,3123,23,0,MICHIGA,200,FERRY  T.W.,0.193,0.177,0.0559,0.0574,0.3103,-94.94952,414,41,0.795
46,1434,25,0,WISCONS,200,CAMERON  A.,0.191,0.107,0.0516,0.0391,0.2312,-69.94882,432,24,0.851
46,4001,2,0,MAINE,200,HAMLIN  H.,0.188,-0.153,0.0879,0.1081,-0.2865,-49.44404,160,22,0.734
46,8041,4,0,NEW HAM,200,ROLLINS  E.,0.187,-0.353,0.0782,0.0761,0.1101,-98.29399,474,44,0.813
46,1984,13,0,NEW YOR,200,CONKLING  R,0.186,-0.496,0.0997,0.1136,-0.2346,-93.06988,312,45,0.742
46,212,5,0,RHODE I,200,ANTHONY  H.,0.179,-0.693,0.0544,0.0619,-0.0771,-64.45186,400,27,0.851
46,10268,33,0,MINNESO,200,WINDOM  W.,0.166,-0.033,0.046,0.0475,0.2854,-83.98964,411,40,0.815
46,5147,45,0,LOUISIA,200,KELLOGG  W.,0.162,0.554,0.0296,0.0695,0.442,-47.62267,234,19,0.816
46,2855,6,0,VERMONT,200,EDMUNDS  G.,0.162,-0.988,0.0522,0.1001,-0.366,-59.76028,293,33,0.815
46,765,4,0,NEW HAM,200,BLAIR  H.W.,0.159,-0.415,0.0563,0.0668,-0.0304,-75.45889,328,33,0.794
46,760,2,0,MAINE,200,BLAINE  J.G,0.156,-0.017,0.0568,0.0614,0.2463,-30.53892,218,13,0.869
46,6696,6,0,VERMONT,200,MORRILL  J.,0.155,-0.949,0.0595,0.0511,-0.2897,-90.02396,460,44,0.822
46,5299,31,0,IOWA,200,KIRKWOOD  S,0.15,0.178,0.0404,0.0694,0.2395,-81.51656,412,39,0.82
46,141,31,0,IOWA,200,ALLISON  W.,0.144,0.056,0.0335,0.0306,0.028,-76.25291,407,28,0.829
46,1524,25,0,WISCONS,200,CARPENTER,0.135,0.156,0.0204,0.0383,0.0314,-43.97208,149,21,0.744
46,2423,3,0,MASSACH,200,DAWES  H.L.,0.132,-0.496,0.0608,0.0468,0.0841,-66.30883,363,31,0.833
46,4801,32,0,KANSAS,200,INGALLS  J.,0.128,0.424,0.0218,0.0493,0.1568,-118.23383,387,60,0.737
46,5746,21,0,ILLINOI,200,LOGAN  J.A.,0.118,0.213,0.0193,0.0385,0.1867,-81.0274,331,39,0.783
46,4462,3,0,MASSACH,200,HOAR  G.F.,0.097,-0.578,0.054,0.0382,0.0154,-53.0207,302,20,0.839
46,1435,14,0,PENNSYL,200,CAMERON  J.,0.087,0.114,0.0283,0.0459,0.2381,-66.74438,289,31,0.794
46,1299,5,0,RHODE I,200,BURNSIDE  A,0.077,-0.367,0.0637,0.0643,0.0444,-102.56705,477,46,0.807
46,5046,65,0,NEVADA,200,JONES  J.P.,0.067,-0.014,0.0269,0.0296,0.13,-35.1258,121,14,0.748
46,854,71,0,CALIFOR,200,BOOTH  N.,0.001,-0.145,0.0217,0.0469,0.1609,-139.85909,364,67,0.681
46,2378,21,0,ILLINOI,328,DAVIS  D.,-0.14,-0.067,0.0147,0.0474,0.1943,-181.96149,320,102,0.566
46,9685,22,0,INDIANA,100,VOORHEES  D,-0.417,0.238,0.0589,0.0999,0.0655,-121.12931,401,62,0.739
46,6219,22,0,INDIANA,100,MCDONALD  J,-0.439,0.108,0.0494,0.0779,-0.1445,-110.10712,398,64,0.758
46,10082,52,0,MARYLAN,100,WHYTE  W.P.,-0.447,-1.068,0.1196,0.0999,0.4724,-72.48158,264,31,0.76
46,2832,1,0,CONNECT,100,EATON  W.W.,-0.456,-0.89,0.0814,0.1004,0.1706,-151.1655,450,93,0.715
46,3697,44,0,GEORGIA,100,GORDON  J.B,-0.474,0.051,0.049,0.0432,-0.0378,-22.57447,145,12,0.856
46,4405,44,0,GEORGIA,100,HILL  B.H.,-0.476,-0.396,0.0542,0.071,0.1481,-103.70481,383,52,0.763
46,5202,13,0,NEW YOR,100,KERNAN  F.,-0.482,-0.821,0.0704,0.0596,0.2033,-110.19275,502,49,0.803
46,3475,42,0,ARKANSA,100,GARLAND  A.,-0.492,0.272,0.0759,0.0817,-0.0366,-104.97258,488,51,0.806
46,5026,43,0,FLORIDA,100,JONES  C.W.,-0.495,-0.101,0.0586,0.0607,-0.055,-77.8825,343,40,0.797
46,2384,56,0,WEST VI,100,DAVIS  H.G.,-0.51,-0.543,0.0618,0.0469,0.116,-90.62554,399,37,0.797
46,7726,12,0,NEW JER,100,RANDOLPH  T,-0.513,-0.646,0.051,0.0606,0.1088,-59.45838,299,31,0.82
46,6375,12,0,NEW JER,100,MCPHERSON,-0.529,-0.734,0.0915,0.0507,0.3379,-101.64407,301,53,0.713
46,7737,47,0,NORTH C,100,RANSOM  M.W,-0.53,-0.003,0.0482,0.0489,-0.0874,-91.09778,367,44,0.78
46,528,11,0,DELAWAR,100,BAYARD  T.F,-0.533,-0.661,0.0499,0.055,0.1164,-73.8755,393,29,0.829
46,10295,40,0,VIRGINI,100,WITHERS  R.,-0.533,0.006,0.0591,0.0724,0.0688,-93.21218,381,48,0.783
46,3850,52,0,MARYLAN,100,GROOME  J.B,-0.534,-0.49,0.0698,0.0631,0.1358,-109.01559,406,62,0.765
46,5416,46,0,MISSISS,100,LAMAR  L.Q.,-0.548,-0.429,0.0616,0.0574,0.0416,-85.17028,313,39,0.762
46,5005,40,0,VIRGINI,100,JOHNSTON  J,-0.549,-0.07,0.0766,0.1046,0.1206,-72.25689,309,33,0.791
46,4020,48,0,SOUTH C,100,HAMPTON  W.,-0.557,-0.35,0.0773,0.0779,0.245,-103.1058,408,48,0.777
46,1344,48,0,SOUTH C,100,BUTLER  M.C,-0.579,-0.595,0.0708,0.0499,0.2661,-115.52458,367,68,0.73
46,1126,44,0,GEORGIA,100,BROWN  J.E.,-0.587,-0.613,0.0794,0.086,0.2524,-70.21757,162,39,0.648
46,6093,49,0,TEXAS,100,MAXEY  S.B.,-0.591,0.342,0.0618,0.0414,-0.0886,-113.92126,463,58,0.782
46,10166,51,0,KENTUCK,100,WILLIAMS  J,-0.598,0.261,0.1086,0.0802,-0.0181,-118.61295,429,66,0.758
46,9770,14,0,PENNSYL,100,WALLACE  W.,-0.602,-0.349,0.067,0.0896,0.2562,-95.35735,343,49,0.757
46,1425,43,0,FLORIDA,100,CALL  W.,-0.612,-0.118,0.0891,0.0675,0.0264,-135.77892,516,73,0.769
46,3861,72,0,OREGON,100,GROVER  L.F,-0.636,0.16,0.0873,0.0888,-0.0086,-13.36253,95,8,0.869
46,5017,45,0,LOUISIA,100,JONAS  B.F.,-0.644,0.018,0.082,0.0591,0.1133,-108.08629,515,41,0.811
46,7644,41,0,ALABAMA,100,PUGH  J.L.,-0.647,-0.067,0.0984,0.0669,0.1175,-41.19296,145,18,0.753
46,7319,24,0,OHIO,100,PENDLETON,-0.658,-0.232,0.0827,0.0673,0.0857,-124.65402,454,57,0.76
46,9745,42,0,ARKANSA,100,WALKER  J.D,-0.68,0.308,0.1001,0.0865,0.0168,-75.72208,452,34,0.846
46,7640,41,0,ALABAMA,100,PRYOR  L.,-0.683,-0.086,0.1194,0.1591,0.235,-45.04929,189,19,0.788
46,4352,56,0,WEST VI,100,HEREFORD  F,-0.688,0.136,0.0943,0.0902,-0.1257,-98.10176,440,45,0.8
46,3061,71,0,CALIFOR,100,FARLEY  J.T,-0.691,0.132,0.0825,0.0733,-0.0454,-109.158,366,46,0.742
