congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
76,3347,36,0,NORTH D,200,FRAZIER,0.481,1.058,0.0712,0.1509,0.0815,-60.99252,222,27,0.76
76,6991,36,0,NORTH D,200,NYE,0.402,0.86,0.0743,0.1423,0.2042,-59.9162,221,26,0.763
76,8476,33,0,MINNESO,537,SHIPSTEAD,0.398,0.962,0.0334,0.1144,0.26,-69.75854,224,29,0.732
76,9298,63,0,IDAHO,200,THOMAS  J.,0.385,0.429,0.1251,0.1439,0.0945,-38.21582,124,17,0.735
76,4962,71,0,CALIFOR,200,JOHNSON  H.,0.365,0.577,0.1051,0.1221,0.127,-58.8879,218,31,0.763
76,4545,56,0,WEST VI,100,HOLT,0.34,0.677,0.0899,0.1194,0.181,-52.93776,184,21,0.75
76,7780,32,0,KANSAS,200,REED,0.305,0.173,0.1883,0.1964,0.0308,-61.35703,213,22,0.75
76,6367,72,0,OREGON,200,MCNARY,0.296,0.211,0.1484,0.1628,0.18,-61.2531,202,24,0.738
76,5839,33,0,MINNESO,537,LUNDEEN,0.282,0.959,0.0951,0.1039,0.2436,-68.27491,186,28,0.693
76,1494,32,0,KANSAS,200,CAPPER,0.281,0.402,0.0648,0.0859,0.1037,-68.00428,251,23,0.763
76,4528,72,0,OREGON,200,HOLMAN,0.26,0.133,0.1386,0.1474,0.2081,-81.49581,226,38,0.697
76,9984,64,0,MONTANA,100,WHEELER,0.253,0.787,0.0437,0.0961,0.2632,-67.99603,199,29,0.711
76,1234,37,0,SOUTH D,100,BULOW,0.244,0.611,0.0282,0.0728,0.377,-135.43782,233,73,0.559
76,9439,11,0,DELAWAR,200,TOWNSEND,0.243,-0.365,0.2606,0.2587,0.0608,-41.58375,216,15,0.825
76,858,63,0,IDAHO,200,BORAH,0.235,0.468,0.0503,0.0529,0.1981,-40.85478,83,24,0.611
76,9401,4,0,NEW HAM,200,TOBEY,0.231,-0.288,0.1925,0.2158,0.062,-48.04987,202,21,0.788
76,1760,63,0,IDAHO,100,CLARK  D.,0.222,0.849,0.1038,0.0665,0.1766,-84.57108,203,41,0.659
76,9152,24,0,OHIO,200,TAFT,0.217,-0.608,0.2251,0.1424,0.0708,-67.851,247,33,0.76
76,2317,1,0,CONNECT,200,DANAHER,0.2,-0.126,0.1307,0.1893,0.1019,-110.94449,258,46,0.65
76,10047,2,0,MAINE,200,WHITE,0.198,-0.304,0.1396,0.1465,0.2765,-75.10563,227,43,0.718
