congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
107,14105,47,0,NORTH C,200,HELMS,0.856,0.459,0.0909,0.2377,-0.2851,-36.31361,328,9,0.895
107,15116,4,0,NEW HAM,200,SMITH  ROBE,0.764,-0.15,0.0996,0.1077,0.0308,-106.29551,450,43,0.79
107,15424,53,0,OKLAHOM,200,INHOFE,0.723,0.129,0.0507,0.0978,-0.085,-75.51417,444,37,0.844
107,15406,51,0,KENTUCK,200,BUNNING,0.66,0.175,0.0695,0.1402,0.0862,-68.56316,450,35,0.859
107,14908,53,0,OKLAHOM,200,NICKLES  DO,0.64,-0.55,0.0372,0.0493,0.1858,-68.99633,454,33,0.859
107,29108,62,0,COLORAD,200,ALLARD,0.63,-0.172,0.0399,0.0582,0.2354,-83.19175,454,36,0.833
107,49700,41,0,ALABAMA,200,SESSIONS,0.628,0.075,0.0586,0.0927,0.2137,-107.80157,444,52,0.784
107,49706,68,0,WYOMING,200,ENZI,0.621,-0.004,0.0397,0.0635,0.1234,-86.50111,445,40,0.823
107,14628,49,0,TEXAS,200,GRAMM  PHIL,0.617,-0.475,0.0436,0.0584,0.1596,-80.30718,441,33,0.834
107,15429,61,0,ARIZONA,200,KYL,0.583,-0.652,0.023,0.0365,0.2777,-79.54877,455,37,0.84
107,15633,68,0,WYOMING,200,THOMAS,0.531,-0.299,0.0447,0.0415,0.1772,-74.64818,448,30,0.847
107,29345,63,0,IDAHO,200,CRAPO,0.53,0.148,0.0553,0.1041,0.0719,-75.7886,438,30,0.841
107,14809,63,0,IDAHO,200,CRAIG,0.529,-0.064,0.0461,0.0445,0.191,-65.31882,452,35,0.865
107,94659,41,0,ALABAMA,200,SHELBY,0.529,0.464,0.0569,0.1919,-0.1399,-113.41302,447,55,0.776
107,14031,46,0,MISSISS,200,LOTT,0.503,-0.026,0.0408,0.0549,0.1187,-71.29224,448,32,0.853
107,29306,42,0,ARKANSA,200,HUTCHINSON,0.474,-0.002,0.0295,0.0708,0.2939,-124.32298,446,52,0.757
107,29523,32,0,KANSAS,200,BROWNBACK,0.454,-0.418,0.0257,0.0484,0.2315,-106.07036,449,42,0.79
107,14921,51,0,KENTUCK,200,MCCONNELL,0.452,-0.175,0.0359,0.0225,0.0819,-57.8784,457,22,0.881
107,14852,32,0,KANSAS,200,ROBERTS,0.447,0.138,0.0428,0.093,0.0675,-72.39165,451,29,0.852
107,29148,40,0,VIRGINI,200,ALLEN,0.421,-0.049,0.03,0.046,0.3144,-95.65079,454,43,0.81
