congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
38,1642,23,0,MICHIGA,200,CHANDLER  Z,0.412,0.328,0.1219,0.0842,-0.0046,-115.83273,442,57,0.769
38,3076,2,0,MAINE,200,FARWELL  N.,0.355,-0.935,0.1012,0.2683,0.2896,-48.63853,147,21,0.718
38,10121,33,0,MINNESO,200,WILKINSON,0.355,0.673,0.076,0.0739,-0.0226,-109.61365,356,46,0.735
38,9698,24,0,OHIO,200,WADE  B.F.,0.294,0.378,0.0918,0.0557,0.1473,-158.25978,418,89,0.685
38,6992,65,0,NEVADA,200,NYE  J.W.,0.22,0.032,0.095,0.0772,-0.1305,-52.65776,119,27,0.642
38,8948,65,0,NEVADA,200,STEWART  W.,0.194,-0.188,0.0396,0.0882,-0.0333,-45.69464,113,24,0.667
38,4627,23,0,MICHIGA,200,HOWARD  J.M,0.186,0.26,0.048,0.0469,-0.0114,-159.74843,394,87,0.667
38,4077,31,0,IOWA,200,HARLAN  J.,0.166,0.243,0.0439,0.0431,0.1457,-217.35229,508,120,0.652
38,7518,32,0,KANSAS,200,POMEROY  S.,0.165,0.241,0.0502,0.0482,0.0508,-210.1223,459,113,0.633
38,1997,71,0,CALIFOR,200,CONNESS  J.,0.147,-0.012,0.0547,0.0603,-0.3688,-210.61206,502,103,0.657
38,7703,33,0,MINNESO,200,RAMSEY  A.,0.137,0.135,0.0334,0.0498,-0.151,-209.7422,516,100,0.666
38,10225,3,0,MASSACH,200,WILSON  H.,0.129,-0.161,0.0843,0.0387,-0.0833,-198.68977,547,88,0.695
38,9083,3,0,MASSACH,200,SUMNER  C.,0.119,-0.18,0.068,0.04,0.0463,-261.05191,583,130,0.639
38,6697,2,0,MAINE,200,MORRILL  L.,0.109,-0.464,0.0879,0.0419,-0.1618,-147.8329,438,76,0.714
38,3834,31,0,IOWA,200,GRIMES  J.W,0.108,0.442,0.0287,0.0491,0.0617,-282.26288,481,151,0.556
38,1100,34,0,MISSOUR,203,BROWN  B.G.,0.099,0.301,0.031,0.0836,0.033,-138.01869,338,73,0.665
38,3922,4,0,NEW HAM,200,HALE  J.P.,0.083,0.218,0.0272,0.0548,0.004,-202.3385,386,109,0.592
38,6677,13,0,NEW YOR,200,MORGAN  E.D,0.079,-0.659,0.0647,0.0644,-0.2691,-223.4886,574,120,0.677
38,1759,4,0,NEW HAM,200,CLARK  D.,0.052,-0.607,0.0889,0.0689,-0.1815,-170.05836,534,79,0.727
38,5443,32,0,KANSAS,200,LANE  J.H.,0.051,0.013,0.0354,0.054,-0.0198,-221.61159,466,111,0.622
38,4642,25,0,WISCONS,200,HOWE  T.O.,0.048,-0.099,0.0447,0.0372,-0.0705,-213.62871,445,116,0.619
38,8806,5,0,RHODE I,200,SPRAGUE  W.,0.04,-0.023,0.0309,0.0437,-0.0287,-214.44708,422,114,0.602
38,5442,22,0,INDIANA,200,LANE  H.S.,0.03,0.3,0.0322,0.0614,0.1313,-230.6174,479,126,0.618
38,8454,24,0,OHIO,200,SHERMAN  J.,0.003,-0.013,0.0141,0.0273,0.07,-237.26712,486,128,0.614
