congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
80,6629,53,0,OKLAHOM,200,MOORE  E.,0.608,0.442,0.1398,0.4463,-0.1928,-47.04761,204,24,0.794
80,9998,35,0,NEBRASK,200,WHERRY,0.472,0.122,0.1864,0.2745,0.015,-52.48279,226,22,0.793
80,1330,37,0,SOUTH D,200,BUSHFIELD,0.467,0.333,0.1658,0.3122,-0.046,-34.76721,146,12,0.788
80,5944,65,0,NEVADA,200,MALONE,0.432,0.23,0.171,0.1968,0.0935,-73.62689,218,31,0.713
80,1338,35,0,NEBRASK,200,BUTLER,0.414,0.066,0.1705,0.2074,0.1162,-39.03334,213,13,0.833
80,2838,64,0,MONTANA,200,ECTON,0.401,0.252,0.1395,0.1946,0.0693,-67.62544,233,31,0.748
80,1024,24,0,OHIO,200,BRICKER,0.399,-0.211,0.1828,0.2776,-0.1909,-29.89442,216,11,0.871
80,5158,34,0,MISSOUR,200,KEM,0.398,-0.03,0.1488,0.213,0.0447,-59.85237,223,23,0.765
80,4922,22,0,INDIANA,200,JENNER,0.371,0.014,0.1701,0.2766,-0.0022,-35.50386,205,16,0.841
80,7021,49,0,TEXAS,100,O'DANIEL,0.368,0.827,0.0663,0.0949,0.1784,-74.37728,193,39,0.68
80,7960,68,0,WYOMING,200,ROBERTSON E,0.363,0.261,0.1445,0.2346,0.2078,-53.13411,176,25,0.739
80,2803,63,0,IDAHO,200,DWORSHAK,0.351,0.064,0.1598,0.2078,0.0015,-53.73927,229,18,0.791
80,1071,21,0,ILLINOI,200,BROOKS,0.339,-0.009,0.1489,0.2228,-0.0737,-71.01649,224,39,0.728
80,4210,12,0,NEW JER,200,HAWKES,0.331,-0.072,0.1576,0.2313,0.0321,-46.69967,227,25,0.814
80,1489,22,0,INDIANA,200,CAPEHART,0.324,-0.125,0.1179,0.2056,0.0376,-43.98757,196,22,0.799
80,1494,32,0,KANSAS,200,CAPPER,0.318,0.387,0.133,0.1514,0.084,-95.12146,224,49,0.654
80,10163,11,0,DELAWAR,200,WILLIAMS  J,0.309,-0.061,0.1567,0.2151,-0.0791,-77.89742,227,40,0.71
80,1395,73,0,WASHING,200,CAIN,0.306,-0.082,0.1072,0.1743,-0.1077,-51.93649,228,22,0.796
80,10221,31,0,IOWA,200,WILSON  G.,0.302,0.285,0.1126,0.1498,0.2589,-87.10371,178,44,0.613
80,6021,14,0,PENNSYL,200,MARTIN,0.292,-0.36,0.1211,0.2037,-0.0335,-35.32249,217,13,0.85
80,1194,11,0,DELAWAR,200,BUCK,0.288,-0.144,0.1374,0.2018,0.1048,-54.33091,201,27,0.763
80,4382,31,0,IOWA,200,HICKENLOOPE,0.27,-0.258,0.1013,0.2366,-0.0056,-59.49479,234,27,0.775
80,7780,32,0,KANSAS,200,REED  C.M.,0.262,-0.097,0.1068,0.1861,0.1429,-35.08353,167,16,0.811
80,9865,67,0,UTAH,200,WATKINS,0.255,-0.021,0.0964,0.1552,0.2168,-70.72563,225,29,0.73
80,7826,56,0,WEST VI,200,REVERCOMB,0.253,-0.017,0.0974,0.0985,0.1672,-72.01734,211,35,0.711
80,1027,4,0,NEW HAM,200,BRIDGES,0.241,-0.422,0.1066,0.161,-0.0523,-46.4747,201,19,0.794
80,9152,24,0,OHIO,200,TAFT,0.24,-0.607,0.1049,0.1481,-0.1247,-41.55206,224,21,0.831
80,1021,2,0,MAINE,200,BREWSTER,0.239,-0.479,0.1126,0.1767,-0.0058,-34.14289,200,13,0.843
80,6525,62,0,COLORAD,200,MILLIKIN,0.237,-0.07,0.0817,0.1403,0.2608,-52.20317,234,23,0.8
80,6137,25,0,WISCONS,200,MCCARTHY,0.233,-0.317,0.0759,0.1919,0.0762,-58.25555,210,27,0.758
80,2066,72,0,OREGON,200,CORDON,0.224,0.032,0.0568,0.0957,0.1907,-61.25269,222,25,0.759
80,8929,54,0,TENNESS,100,STEWART,0.216,0.842,0.0384,0.095,0.1258,-78.35086,207,34,0.685
80,1365,40,0,VIRGINI,100,BYRD,0.212,0.348,0.0491,0.0247,0.1657,-100.18145,206,53,0.615
80,3882,37,0,SOUTH D,200,GURNEY,0.204,-0.134,0.0725,0.1103,0.1386,-61.04818,232,28,0.769
80,10450,36,0,NORTH D,200,YOUNG,0.203,0.113,0.061,0.0401,0.1503,-98.12855,226,46,0.648
80,2656,34,0,MISSOUR,200,DONNELL,0.19,-0.083,0.0543,0.112,0.3155,-63.13797,224,31,0.754
80,6151,42,0,ARKANSA,100,MCCLELLAN,0.186,0.664,0.0196,0.1781,0.2237,-78.13206,233,32,0.715
80,6132,65,0,NEVADA,100,MCCARRAN,0.169,0.551,0.0223,0.0541,0.2696,-115.90958,188,66,0.54
80,5452,36,0,NORTH D,200,LANGER,0.166,0.243,0.0152,0.0357,0.2462,-229.4133,208,123,0.332
80,2822,46,0,MISSISS,100,EASTLAND,0.165,0.733,0.0219,0.1927,0.1667,-64.98483,199,25,0.721
80,3110,23,0,MICHIGA,200,FERGUSON,0.156,-0.772,0.0745,0.0952,0.0061,-39.7765,231,12,0.842
80,10110,25,0,WISCONS,200,WILEY,0.154,-0.383,0.0644,0.1135,0.1021,-52.65223,213,28,0.781
80,7126,45,0,LOUISIA,100,OVERTON,0.146,0.55,0.0522,0.0893,0.2398,-57.70061,138,27,0.658
80,7958,40,0,VIRGINI,100,ROBERTSON A,0.131,0.3,0.0321,0.0543,0.2367,-98.05035,226,51,0.648
80,4949,62,0,COLORAD,100,JOHNSON  E.,0.127,0.383,0.0238,0.0505,0.2287,-137.26308,228,72,0.548
80,9604,23,0,MICHIGA,200,VANDENBERG,0.125,-0.381,0.0429,0.1706,0.2073,-42.47681,223,18,0.827
80,8883,46,0,MISSISS,100,STENNIS,0.118,0.865,0.0395,0.1553,0.1496,-35.41884,109,14,0.723
80,8138,44,0,GEORGIA,100,RUSSELL,0.115,0.645,0.0285,0.0851,0.0233,-70.34859,223,27,0.729
80,4483,47,0,NORTH C,100,HOEY,0.115,0.445,0.0391,0.0726,0.1226,-78.90397,230,29,0.71
80,10047,2,0,MAINE,200,WHITE  W.,0.113,-0.53,0.0825,0.1444,0.2025,-29.11818,159,16,0.833
80,390,1,0,CONNECT,200,BALDWIN,0.111,-0.577,0.0457,0.1558,0.321,-58.07895,224,28,0.772
80,3536,44,0,GEORGIA,100,GEORGE,0.108,0.318,0.0282,0.0473,0.2457,-73.95866,200,39,0.691
80,4520,43,0,FLORIDA,100,HOLLAND,0.098,0.296,0.0562,0.109,0.1703,-87.51132,232,44,0.686
80,9374,33,0,MINNESO,200,THYE,0.098,-0.352,0.0285,0.1464,0.2606,-46.37689,231,17,0.818
80,3090,45,0,LOUISIA,100,FEAZELL,0.097,0.501,0.0898,0.1536,0.3102,-19.57404,57,12,0.709
80,8185,3,0,MASSACH,200,SALTONSTALL,0.082,-0.419,0.0188,0.1648,0.1242,-46.72371,229,16,0.815
80,5343,71,0,CALIFOR,200,KNOWLAND,0.081,-0.369,0.0223,0.118,0.33,-53.99541,230,21,0.791
80,9552,47,0,NORTH C,100,UMSTEAD,0.08,0.486,0.0636,0.1637,0.2609,-74.3088,217,27,0.71
80,394,33,0,MINNESO,200,BALL,0.071,-0.921,0.0926,0.0581,-0.1465,-55.99696,227,20,0.781
