congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
4,8070,14,0,PENNSYL,1,ROSS,1.207,-0.426,0.3106,0.1766,0.349,-9.63832,79,5,0.885
4,8150,12,0,NEW JER,1,RUTHERFURD,0.948,-0.242,0.2166,0.1822,0.083,-14.43016,72,8,0.818
4,3361,12,0,NEW JER,1,FRELINGHUYS,0.936,-0.352,0.2457,0.2171,0.3092,-4.69994,32,2,0.863
4,7763,48,0,SOUTH C,1,READ,0.792,-0.39,0.1793,0.0864,0.0091,-20.512,77,10,0.766
4,719,14,0,PENNSYL,1,BINGHAM,0.769,-0.639,0.2514,0.0702,0.1719,-10.12571,79,3,0.88
4,5494,11,0,DELAWAR,1,LATIMER,0.7,-0.04,0.1205,0.1076,0.0516,-11.5986,75,7,0.857
4,5270,13,0,NEW YOR,1,KING,0.645,-0.273,0.1327,0.0681,0.2245,-6.14541,47,2,0.877
4,1384,3,0,MASSACH,1,CABOT,0.638,0.364,0.142,0.1591,0.0784,-1.6029,52,0,0.97
4,9489,1,0,CONNECT,1,TRUMBULL,0.611,0.502,0.2161,0.2145,-0.2816,-2.70133,62,2,0.957
4,9028,3,0,MASSACH,1,STRONG,0.596,0.803,0.1928,0.104,-0.3877,-3.49122,54,2,0.937
4,951,5,0,RHODE I,1,BRADFORD,0.525,0.468,0.1024,0.1575,0.0912,-12.89371,78,5,0.848
4,7564,52,0,MARYLAN,1,POTTS,0.468,-0.863,0.1273,0.1403,-0.0208,-13.45704,51,9,0.768
4,9676,11,0,DELAWAR,1,VINING,0.392,-0.071,0.1129,0.1682,-0.3538,-5.54508,33,2,0.845
4,3877,44,0,GEORGIA,1,GUNN,0.391,-0.68,0.1427,0.1109,-0.3736,-24.21581,65,14,0.689
4,7164,6,0,VERMONT,1,PAINE,0.311,0.692,0.0695,0.0843,-0.1125,-8.31499,53,4,0.855
4,3315,5,0,RHODE I,1,FOSTER,0.164,0.636,0.0772,0.0798,0.0188,-13.34062,77,8,0.841
4,4333,52,0,MARYLAN,1,HENRY,0.151,-0.639,0.0723,0.076,-0.2395,-16.18589,63,7,0.773
4,5713,4,0,NEW HAM,1,LIVERMORE,0.101,0.995,0.0644,0.1048,0.0063,-16.71557,81,10,0.814
4,9189,44,0,GEORGIA,200,TATTNALL,-0.136,-0.939,0.0854,0.1202,-0.0686,-8.7611,47,3,0.83
4,6000,51,0,KENTUCK,1,MARSHALL,-0.224,0.95,0.069,0.2081,0.0007,-19.11618,71,13,0.764
4,6012,47,0,NORTH C,200,MARTIN,-0.281,-0.947,0.0933,0.0834,-0.0825,-18.31132,81,8,0.798
4,800,47,0,NORTH C,200,BLOODWORTH,-0.426,-0.245,0.0462,0.1108,-0.2981,-13.80081,79,10,0.84
4,1346,48,0,SOUTH C,200,BUTLER,-0.431,-0.902,0.1148,0.1443,-0.3576,-10.2785,47,6,0.804
4,1118,51,0,KENTUCK,200,BROWN,-0.451,-0.472,0.056,0.1229,-0.0761,-20.46727,78,14,0.769
4,5449,4,0,NEW HAM,200,LANGDON,-0.685,-0.251,0.1469,0.1194,-0.1545,-8.82027,69,4,0.88
4,7989,6,0,VERMONT,200,ROBINSON,-0.747,0.077,0.1196,0.2514,-0.1857,-8.80796,57,5,0.857
4,1302,13,0,NEW YOR,200,BURR,-0.775,-0.632,0.2186,0.1022,-0.473,-21.09291,62,11,0.712
4,9238,40,0,VIRGINI,200,TAZEWELL,-0.943,-0.333,0.2757,0.1188,-0.6142,-12.96327,78,6,0.847
4,6063,40,0,VIRGINI,200,MASON,-1.56,-0.066,0.4151,0.3104,0.1623,-14.40647,54,8,0.766
