congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
42,7090,43,0,FLORIDA,200,OSBORN  T.W,0.376,0.847,0.0527,0.1116,0.0958,-135.11363,477,67,0.753
42,1642,23,0,MICHIGA,200,CHANDLER  Z,0.342,-0.045,0.1754,0.0725,0.1652,-191.82866,614,96,0.732
42,6992,65,0,NEVADA,200,NYE  J.W.,0.272,0.428,0.0862,0.0719,0.228,-165.33116,485,70,0.711
42,1824,42,0,ARKANSA,200,CLAYTON  P.,0.259,0.959,0.0432,0.1263,0.0403,-187.88448,528,93,0.701
42,8783,41,0,ALABAMA,200,SPENCER G.E,0.234,0.972,0.0572,0.1025,0.3313,-189.45216,483,92,0.676
42,7518,32,0,KANSAS,200,POMEROY  S.,0.231,0.252,0.0573,0.0658,0.2067,-162.52989,523,71,0.733
42,7703,33,0,MINNESO,200,RAMSEY  A.,0.223,0.333,0.0627,0.0483,0.2944,-211.70822,589,97,0.698
42,1151,54,0,TENNESS,200,BROWNLOW  W,0.216,0.325,0.0707,0.0628,0.2731,-50.8196,140,26,0.696
42,4001,2,0,MAINE,200,HAMLIN  H.,0.191,-0.688,0.0867,0.0534,-0.3767,-218.34901,480,118,0.635
42,3123,23,0,MICHIGA,200,FERRY  T.W.,0.183,0.221,0.0523,0.051,0.2692,-246.92139,686,119,0.698
42,7521,47,0,NORTH C,200,POOL  J.,0.178,0.983,0.0662,0.0978,0.1097,-155.22362,468,67,0.718
42,152,46,0,MISSISS,200,AMES  A.,0.174,-0.135,0.0843,0.0668,-0.1129,-222.9451,591,109,0.686
42,3203,49,0,TEXAS,200,FLANAGAN J.,0.173,0.281,0.0372,0.0481,0.2276,-248.83133,576,135,0.649
42,7851,42,0,ARKANSA,200,RICE  B.F.,0.172,0.984,0.0718,0.1023,0.0808,-202.51869,435,100,0.628
42,3571,43,0,FLORIDA,200,GILBERT  A.,0.171,0.03,0.0428,0.0508,0.1787,-213.10277,467,116,0.634
42,1401,32,0,KANSAS,200,CALDWELL  A,0.17,0.253,0.0716,0.1406,0.0543,-212.92038,540,105,0.674
42,1984,13,0,NEW YOR,200,CONKLING  R,0.168,-0.575,0.086,0.0546,-0.2591,-228.72365,645,113,0.701
42,6744,22,0,INDIANA,200,MORTON  O.,0.168,0.392,0.0286,0.0474,0.2372,-201.43895,503,105,0.67
42,4077,31,0,IOWA,200,HARLAN  J.,0.153,0.221,0.0223,0.0443,0.2119,-275.00659,565,146,0.615
42,2129,4,0,NEW HAM,200,CRAGIN  A.H,0.149,-0.216,0.065,0.0519,-0.173,-204.63741,504,104,0.666
42,5147,45,0,LOUISIA,200,KELLOGG  W.,0.147,0.649,0.0336,0.0602,0.0478,-121.71662,327,61,0.689
42,4642,25,0,WISCONS,200,HOWE  T.O.,0.144,-0.099,0.0549,0.0413,0.2302,-158.86952,455,75,0.705
42,10225,3,0,MASSACH,200,WILSON  H.,0.136,-0.029,0.0369,0.0429,0.0632,-256.58752,555,132,0.63
42,8948,65,0,NEVADA,200,STEWART  W.,0.136,0.014,0.0284,0.0254,0.0531,-204.56,509,90,0.669
42,1524,25,0,WISCONS,200,CARPENTER M,0.135,0.156,0.0204,0.0383,0.0314,-224.33936,486,114,0.63
42,3362,12,0,NEW JER,200,FRELINGHUYS,0.124,-0.524,0.0692,0.048,-0.0758,-225.02541,681,105,0.719
42,1437,14,0,PENNSYL,200,CAMERON  S.,0.124,-0.144,0.0273,0.036,0.0632,-134.78136,360,59,0.688
42,6696,6,0,VERMONT,200,MORRILL  J.,0.123,-0.953,0.0671,0.0617,-0.2689,-182.8927,638,85,0.751
42,10268,33,0,MINNESO,200,WINDOM  W.,0.12,0.208,0.0244,0.0467,0.1103,-292.35492,574,148,0.601
42,10387,31,0,IOWA,200,WRIGHT  G.G,0.117,-0.062,0.0357,0.0544,0.0353,-312.79855,576,155,0.581
42,6697,2,0,MAINE,200,MORRILL  L.,0.117,-0.503,0.0554,0.0501,-0.0338,-173.36089,437,76,0.673
42,9961,45,0,LOUISIA,200,WEST  J.R.,0.116,0.512,0.0542,0.0657,0.1245,-245.47617,527,110,0.628
42,4457,35,0,NEBRASK,200,HITCHCOCK P,0.112,0.667,0.0583,0.0715,0.1118,-319.63681,563,169,0.567
42,862,56,0,WEST VI,200,BOREMAN  A.,0.111,0.166,0.0205,0.0367,0.1823,-335.95737,641,175,0.592
42,2064,72,0,OREGON,200,CORBETT  H.,0.111,-0.16,0.0285,0.049,-0.094,-260.84729,601,127,0.648
42,8304,14,0,PENNSYL,200,SCOTT  J.,0.105,-0.18,0.0229,0.049,0.051,-280.17413,667,139,0.657
42,2855,6,0,VERMONT,200,EDMUNDS  G.,0.102,-0.994,0.047,0.0897,-0.4415,-199.32941,589,95,0.713
42,7587,22,0,INDIANA,200,PRATT  D.D.,0.101,0.097,0.0181,0.0367,0.1143,-260.76166,548,143,0.621
42,1202,1,0,CONNECT,200,BUCKINGHAM,0.1,-0.612,0.0557,0.0872,-0.0553,-156.77673,488,66,0.725
42,8235,48,0,SOUTH C,200,SAWYER  F.A,0.098,0.421,0.0421,0.0591,0.2389,-274.97229,610,126,0.637
42,9083,3,0,MASSACH,200,SUMNER  C.,0.095,0.059,0.0163,0.0387,0.1175,-245.27817,367,139,0.513
42,5642,40,0,VIRGINI,200,LEWIS  J.F.,0.094,0.872,0.104,0.0897,-0.0147,-116.63867,305,52,0.682
42,1921,71,0,CALIFOR,200,COLE  C.,0.09,-0.156,0.0184,0.0385,0.0465,-374.84268,624,179,0.548
42,7246,4,0,NEW HAM,200,PATTERSON J,0.086,-0.555,0.0387,0.0612,-0.0394,-132.31395,334,63,0.673
42,5746,21,0,ILLINOI,200,LOGAN  J.A.,0.079,0.324,0.0563,0.0709,0.2111,-231.81619,506,113,0.632
42,212,5,0,RHODE I,200,ANTHONY  H.,0.075,-0.735,0.0635,0.0374,-0.1794,-181.47655,571,76,0.728
42,8454,24,0,OHIO,200,SHERMAN  J.,0.034,-0.11,0.0166,0.0268,0.1092,-330.66147,571,177,0.56
42,7967,48,0,SOUTH C,200,ROBERTSON T,0.022,0.578,0.0939,0.0478,-0.0652,-238.78914,522,123,0.633
42,3122,1,0,CONNECT,200,FERRY  O.S.,-0.009,-0.489,0.0312,0.0584,0.1789,-164.03528,313,75,0.592
42,67,46,0,MISSISS,200,ALCORN  J.L,-0.029,0.539,0.1115,0.0821,-0.1098,-179.34219,413,90,0.648
42,3107,13,0,NEW YOR,200,FENTON R.E.,-0.035,-0.296,0.0556,0.0781,0.3181,-227.71715,411,131,0.575
42,9398,35,0,NEBRASK,200,TIPTON  T.W,-0.039,0.463,0.1029,0.0706,-0.2505,-230.37627,485,114,0.622
42,3995,49,0,TEXAS,200,HAMILTON M.,-0.063,-0.329,0.0529,0.055,0.1221,-293.05988,514,154,0.565
42,8806,5,0,RHODE I,200,SPRAGUE  W.,-0.083,0.021,0.0858,0.0393,-0.0377,-316.32544,461,162,0.503
42,4416,44,0,GEORGIA,200,HILL  J.,-0.099,0.995,0.1805,0.1792,0.037,-149.62273,544,71,0.76
42,8279,34,0,MISSOUR,208,SCHURZ  C.,-0.134,-0.244,0.0866,0.0661,0.0875,-148.75854,450,63,0.719
42,9492,21,0,ILLINOI,200,TRUMBULL  L,-0.211,-0.41,0.1008,0.0465,0.0667,-187.3085,561,91,0.716
42,5152,72,0,OREGON,100,KELLY  J.K.,-0.437,-0.102,0.0376,0.0542,0.0004,-148.64748,654,74,0.797
42,8962,12,0,NEW JER,100,STOCKTON  J,-0.469,-0.221,0.0725,0.0695,0.172,-179.47511,536,75,0.715
42,5005,40,0,VIRGINI,100,JOHNSTON  J,-0.498,0.266,0.0547,0.0559,-0.1948,-91.28536,535,38,0.843
42,7737,47,0,NORTH C,100,RANSOM  M.W,-0.508,0.285,0.0369,0.0744,-0.1114,-62.51191,327,30,0.826
42,528,11,0,DELAWAR,100,BAYARD  T.F,-0.518,-0.463,0.034,0.0589,0.0639,-100.28674,507,37,0.821
42,2384,56,0,WEST VI,100,DAVIS  H.G.,-0.519,-0.092,0.0466,0.0624,-0.0169,-104.93536,571,39,0.832
42,2380,51,0,KENTUCK,100,DAVIS  G.,-0.541,-0.033,0.1335,0.1032,-0.1103,-35.81442,124,19,0.749
42,2046,54,0,TENNESS,100,COOPER  H.,-0.561,-0.223,0.0325,0.0582,-0.1273,-133.70656,602,76,0.801
42,1585,71,0,CALIFOR,100,CASSERLY  E,-0.576,-0.088,0.0563,0.0841,-0.0289,-130.33528,644,71,0.817
42,3657,41,0,ALABAMA,100,GOLDTHWAITE,-0.606,0.226,0.0486,0.0919,-0.2596,-85.60764,394,38,0.805
42,8922,51,0,KENTUCK,100,STEVENSON J,-0.616,-0.254,0.0385,0.0722,0.0585,-132.16707,641,67,0.814
42,764,34,0,MISSOUR,100,BLAIR  F.P.,-0.619,0.638,0.0549,0.0988,0.306,-106.63486,577,54,0.831
42,5878,51,0,KENTUCK,100,MACHEN  W.B,-0.632,-0.446,0.0814,0.2322,-0.2494,-42.99469,169,17,0.775
42,6978,44,0,GEORGIA,100,NORWOOD  T.,-0.633,0.334,0.0451,0.0764,-0.0867,-102.1199,530,44,0.825
42,9367,24,0,OHIO,100,THURMAN  A.,-0.633,-0.185,0.0374,0.0607,0.0903,-116.93206,499,57,0.791
42,3998,52,0,MARYLAN,100,HAMILTON  W,-0.676,-0.729,0.1123,0.1651,0.0584,-109.876,584,55,0.828
42,8222,11,0,DELAWAR,100,SAULSBURY E,-0.679,-0.591,0.0911,0.1042,0.2893,-77.89475,565,23,0.871
42,9668,52,0,MARYLAN,100,VICKERS  G.,-0.84,-0.373,0.15,0.1042,-0.2109,-167.7793,630,78,0.766
