congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
63,8456,21,0,ILLINOI,200,SHERMAN  L.,0.848,0.458,0.2472,0.0454,-0.344,-84.47955,291,37,0.748
63,7332,14,0,PENNSYL,200,PENROSE  B.,0.732,-0.149,0.0608,0.0477,0.106,-29.29788,168,14,0.84
63,978,1,0,CONNECT,200,BRANDEGEE,0.716,-0.201,0.0466,0.0429,0.1794,-67.11226,388,30,0.841
63,2781,11,0,DELAWAR,200,DUPONT  H.,0.703,-0.438,0.0718,0.0654,-0.0452,-18.09579,130,9,0.87
63,3439,4,0,NEW HAM,200,GALLINGER,0.683,-0.251,0.0523,0.0497,-0.0196,-100.90283,444,41,0.797
63,9911,3,0,MASSACH,200,WEEKS  J.W.,0.665,-0.278,0.0736,0.0568,-0.1129,-69.76554,345,28,0.817
63,7060,14,0,PENNSYL,200,OLIVER  G.,0.609,-0.483,0.0523,0.0513,-0.1039,-57.89457,317,28,0.833
63,3646,56,0,WEST VI,200,GOFF  N.,0.585,-0.194,0.0993,0.1467,-0.1308,-25.10253,110,12,0.796
63,2597,6,0,VERMONT,200,DILLINGHAM,0.581,-0.236,0.0347,0.0438,-0.1572,-55.38295,364,22,0.859
63,5693,5,0,RHODE I,200,LIPPITT  H.,0.566,-0.309,0.0478,0.07,-0.2074,-54.53355,290,23,0.829
63,1601,66,0,NEW MEX,200,CATRON  T.,0.56,-0.11,0.0412,0.0686,0.1576,-55.92842,307,26,0.833
63,5738,3,0,MASSACH,200,LODGE  H.C.,0.557,-0.209,0.0262,0.0322,0.0605,-56.592,293,28,0.824
63,9092,67,0,UTAH,200,SUTHERLAND,0.48,-0.058,0.0345,0.0638,0.2113,-49.10155,282,17,0.84
63,1757,68,0,WYOMING,200,CLARK  C.D.,0.48,-0.079,0.0277,0.052,-0.0093,-60.57473,317,23,0.826
63,8713,67,0,UTAH,200,SMOOT  R.,0.477,-0.053,0.0193,0.0474,0.0142,-117.76985,517,51,0.796
63,9842,68,0,WYOMING,200,WARREN  F.,0.447,-0.13,0.0218,0.0332,0.0882,-47.50068,290,18,0.849
63,8055,13,0,NEW YOR,200,ROOT  E.,0.436,-0.316,0.0333,0.0556,0.1026,-55.0405,267,29,0.814
63,1276,2,0,MAINE,200,BURLEIGH,0.406,-0.175,0.0819,0.1389,0.0201,-22.86264,95,12,0.786
63,4867,52,0,MARYLAN,200,JACKSON  W.,0.373,-0.012,0.0843,0.1548,0.1068,-10.90997,73,5,0.861
63,960,51,0,KENTUCK,200,BRADLEY  W.,0.371,-0.304,0.0385,0.0664,-0.0267,-25.22562,145,9,0.84
63,8893,25,0,WISCONS,200,STEPHENSON,0.37,-0.224,0.032,0.0546,0.0963,-38.13002,171,22,0.8
63,7152,6,0,VERMONT,200,PAGE  C.S.,0.348,0.002,0.0171,0.047,0.1861,-107.11822,446,53,0.786
